pid,cap,desc,oos_net,oos_m,oos_med,oos_d3,oos_dd,oos_min,oos_lv,oos_lot,full_m,full_d3,full_dd,full_lv
T036,0.75,マスク=7 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=3,7717797.909128396,5.126076129566282,1.4724572424091598,2.10819281119754,54.70932796430279,500000.0,120.9601533548842,4.66,4.706215334792718,3.27932160747888,72.3706444996698,120.9601533548842
T036,0.7,マスク=7 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=3,7391086.318880271,5.049946492004853,0.8007183673469386,2.0936507405923788,53.09782125732855,500000.0,130.0642729113306,4.46,4.594959247853203,3.1865200140030803,71.25683813612007,130.0642729113306
T036,0.8,マスク=7 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=3,7229105.73602592,5.0110464976511615,0.7974681903854685,1.9362292409276893,56.14368986379981,500000.0,112.44697619462687,4.42,4.727898924318219,3.2559515858509247,73.27051761085377,112.44697619462687
T036,0.85,マスク=7 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=3,7019020.574316323,4.959383870923939,0.8079590981991019,1.8107157901557702,58.34217201966243,500000.0,105.56092269785663,4.38,4.765539273284314,3.2184677605298972,73.88753354117095,105.56092269785663
T036,0.6,マスク=7 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=3,5590733.969231516,4.565277255939648,0.8532056457231828,2.0393791466339684,48.93643689137419,498424.79591836734,153.0208879638569,3.1,4.146135644296067,2.8537143711823587,70.75123140469775,151.46191364624545
T035,0.5,マスク=7 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=2,3436179.80528339,3.7532891977605454,1.3144468530446534,1.664501305524202,39.3875425529341,500000.0,187.95577032146895,1.84,4.180581909817782,2.725309120531927,55.07482615340812,187.95548696731913
T040,0.6,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=2,3384103.333688751,3.7286164401216793,2.162419713924513,1.1307488615896144,45.66904123394547,483697.2647058823,147.58093186168918,2.23,4.124209207816576,2.7470180853203408,46.336833479788595,147.58093186168918
T035,0.75,マスク=7 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=2,3236894.4924567286,3.6570734939217253,1.2279704843231074,1.2658670165424768,50.08185771062721,500000.0,122.06604762502418,2.05,4.9179018374709615,3.4064698954913375,60.43977037043786,122.06604762502418
T035,0.7,マスク=7 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=2,3212719.750774934,3.6450606640200833,1.2187093233890414,1.314929858863212,48.01161503839765,500000.0,131.29078769409608,1.96,4.800670734296286,3.2770763111767964,58.62999321349975,131.29078769409608
T035,0.6,マスク=7 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=2,3171373.9571524435,3.624336079784385,1.300325237915949,1.402079664808542,43.74332084337544,500000.0,155.02136536962746,1.77,4.524611439066661,3.067332358955932,56.871661519473335,155.02136536962746
T035,0.8,マスク=7 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=2,3108600.5308399587,3.59242851948518,0.9487598198868713,1.1249537181130753,51.811877052298186,500000.0,116.3101274021053,2.11,4.94027871442968,3.4148106552065904,61.23214856359972,114.49032471366093
T040,0.5,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=2,3107000.156850257,3.591607946409181,0.6879541184528677,1.1824863962521137,39.94416195073911,479410.6470588235,180.48988225119004,1.84,3.839297309378553,2.6161368000110485,44.228864575685165,179.76112484446273
T035,0.85,マスク=7 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=2,2942646.1334742075,3.5053741643275016,1.00290693770354,0.9980981101360697,53.28060506019936,500000.0,108.18675409833136,2.14,4.899371311030842,3.3276243561056518,62.44588788053272,107.86028034202944
T040,0.7,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=2,2905747.8827444604,3.485458980239753,2.1338835878636684,0.6889026939998821,50.73989044811653,494760.0,125.47060479651293,2.6,4.133630539070032,2.599803376424914,50.73989044811653,125.46914313856887
T036,0.5,マスク=7 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=3,2898657.413578065,3.4816077616114383,0.1480326530612245,1.1436372864906064,43.62145617633915,500000.0,182.61120962326046,1.9100000000000001,3.569951930557891,2.425697375289415,65.4707009719628,182.61120962326046
T035,0.9,マスク=7 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=2,2857564.458962289,3.4591313597734263,1.00032839639283,0.9112504385761833,54.03563859153218,498084.6875,101.48056866290605,2.16,4.861435814995074,3.2519413956109355,63.5363963855477,100.69867388772353
T040,0.75,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=2,2673020.5696025463,3.354742338344696,1.8225419908837617,0.4441764908293955,53.23037989516831,500000.0,116.37230181034816,2.69,4.1226334239605755,2.541231245406994,53.23037989516831,116.37230181034816
T033,0.6,マスク=7 / risk%=0.5 / FxRiskRefCap=0 / RefCap=0 / 倍率=3,2668458.889772486,3.35208711484114,0.3175387329180596,0.8509238881134751,46.50112374106082,498424.8333333333,152.8385733062594,1.79,4.001573881471754,2.3619359602529366,56.577006874261826,152.8385733062594
T040,0.85,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=2,2616313.4850904075,3.3214651305423226,2.422642941628776,0.12193509158084925,57.37845204989876,500000.0,101.2659900399318,3.11,4.194333829945629,2.5336360060333574,57.37845204989876,101.2659900399318
T040,0.8,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=2,2584796.504760608,3.302712076090719,2.3774244665227,0.26020556830232966,55.17015347237203,500000.0,108.4102380048066,2.87,4.124047430177957,2.488365462546671,55.17015347237203,108.4102380048066
T033,0.7,マスク=7 / risk%=0.5 / FxRiskRefCap=0 / RefCap=0 / 倍率=3,2420462.4435541024,3.201776161102221,0.8007333333333335,0.5599382910669304,50.23568293972224,500000.0,129.65285870056715,1.8800000000000001,4.033380731817093,2.267536539378545,59.046609176870724,129.65285870056715
T033,0.75,マスク=7 / risk%=0.5 / FxRiskRefCap=0 / RefCap=0 / 倍率=3,2403450.5111992448,3.191010356475421,1.6302885850356823,0.49732356480109985,51.85857412021851,500000.0,120.35434966864113,1.98,4.076575157485651,2.2623443381400543,60.737014457309755,120.35434966864113
T033,0.8,マスク=7 / risk%=0.5 / FxRiskRefCap=0 / RefCap=0 / 倍率=3,2333213.4574883683,3.145895720569114,1.5095247205779478,0.39545484432270683,53.871830315752675,500000.0,113.04084872916407,2.2,4.106894039923392,2.2916871716054166,63.0404752012148,113.04084872916407
T033,0.85,マスク=7 / risk%=0.5 / FxRiskRefCap=0 / RefCap=0 / 倍率=3,2302658.7902987124,3.125925974235577,1.649629376644616,0.323875984718347,55.61536495409533,500000.0,105.68991528487064,2.39,4.1533694170284186,2.360171578845316,65.56475481004901,105.68991528487064
T033,0.5,マスク=7 / risk%=0.5 / FxRiskRefCap=0 / RefCap=0 / 倍率=3,1548791.2714846525,2.550550216014713,0.14803333333333335,0.10466844722720747,43.92207646886403,458408.1725896464,184.55134904180522,1.09,3.4488842642142137,2.000945730302006,54.11774312022939,184.55134904180522
T045,0.9,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1 / SCA_GJ重み=0.5,1545232.1259887803,2.5473662475869796,1.5143006387755427,1.0920878988824656,32.85688519970599,496026.0,104.26071023315345,1.43,3.446038520843353,2.293877606935979,42.04912167142026,100.11632630794493
T045,0.85,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1 / SCA_GJ重み=0.5,1480903.6694630582,2.4888610788195153,1.5240180282689195,1.0651901360275717,32.74254143614563,496026.0,105.25478325109647,1.3800000000000001,3.434012869854519,2.2791252934225126,41.557634405381414,105.25478325109647
