proposal_id,family,window,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_n,sca1_net,sca1_n,sca2_net,sca2_n,description,parameter_json,elapsed,run_id
S2005,S01_window,OOS,OK,72283.0,1.3494,3.8435,0.2628,437,20752,50,52540,245,-1009,142,第2レンジ 11-14時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 14, ""Sca2RangeStart"": 11, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",63.6,s2_oos_S2005_20260905095311_69d6
S2006,S01_window,OOS,OK,75986.0,1.3193,3.4398,0.2763,510,20752,50,52540,245,2694,215,第2レンジ 11-15時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 11, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",63.6,s2_oos_S2006_20260905095414_8fe9
S2007,S01_window,OOS,OK,82600.0,1.4877,4.8318,0.3004,359,20752,50,52540,245,9308,64,第2レンジ 12-14時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 14, ""Sca2RangeStart"": 12, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",63.6,s2_oos_S2007_20260905095518_191a
S2008,S01_window,OOS,OK,71776.0,1.3382,3.2141,0.261,430,20752,50,52540,245,-1516,135,第2レンジ 12-15時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 12, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",63.6,s2_oos_S2008_20260905095622_2c5c
S2009,S01_window,OOS,OK,36089.0,1.1407,4.9059,0.1312,580,20752,50,52540,245,-37203,285,第2レンジ 12-16時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 16, ""Sca2RangeStart"": 12, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.6,s2_oos_S2009_20260905095725_7f83
S2010,S01_window,OOS,OK,97839.0,1.5401,2.2406,0.3558,380,20752,50,52540,245,24547,85,第2レンジ 13-15時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",63.6,s2_oos_S2010_20260905095834_36b4
S2011,S01_window,OOS,OK,47351.0,1.1879,3.8863,0.1722,553,20752,50,52540,245,-25941,258,第2レンジ 13-16時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 16, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.6,s2_oos_S2011_20260905095937_773e
S2012,S01_window,OOS,OK,50885.0,1.229,3.0818,0.185,561,20752,50,52540,245,-22407,266,第2レンジ 13-17時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 17, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",63.6,s2_oos_S2012_20260905100046_956a
S2013,S01_window,OOS,OK,44518.0,1.1817,3.3188,0.1619,523,20752,50,52540,245,-28774,228,第2レンジ 14-16時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 16, ""Sca2RangeStart"": 14, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.6,s2_oos_S2013_20260905100150_02f1
S2014,S01_window,OOS,OK,57541.0,1.2654,2.4602,0.2092,548,20752,50,52540,245,-15751,253,第2レンジ 14-17時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 17, ""Sca2RangeStart"": 14, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.6,s2_oos_S2014_20260905100258_1252
