proposal_id,family,description,parameter_json
S2001,S01_window,第2レンジ 9-11時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 11, ""Sca2RangeStart"": 9, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}"
S2002,S01_window,第2レンジ 9-12時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 12, ""Sca2RangeStart"": 9, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}"
S2003,S01_window,第2レンジ 9-13時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 13, ""Sca2RangeStart"": 9, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}"
S2004,S01_window,第2レンジ 11-13時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 13, ""Sca2RangeStart"": 11, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}"
S2005,S01_window,第2レンジ 11-14時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 14, ""Sca2RangeStart"": 11, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}"
S2006,S01_window,第2レンジ 11-15時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 11, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}"
S2007,S01_window,第2レンジ 12-14時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 14, ""Sca2RangeStart"": 12, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}"
S2008,S01_window,第2レンジ 12-15時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 12, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}"
S2009,S01_window,第2レンジ 12-16時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 16, ""Sca2RangeStart"": 12, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}"
S2010,S01_window,第2レンジ 13-15時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}"
S2011,S01_window,第2レンジ 13-16時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 16, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}"
S2012,S01_window,第2レンジ 13-17時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 17, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}"
S2013,S01_window,第2レンジ 14-16時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 16, ""Sca2RangeStart"": 14, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}"
S2014,S01_window,第2レンジ 14-17時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 17, ""Sca2RangeStart"": 14, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}"
S2015,S01_window,第2レンジ 15-17時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 17, ""Sca2RangeStart"": 15, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}"
