proposal_id,family,window,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_n,sca1_net,sca1_n,sca2_net,sca2_n,description,parameter_json,elapsed,run_id
S2B030,W3_force_close,OOS,OK,80219.0,1.4833,2.3419,0.2917,391,20752,50,52540,245,6927,96,第2レンジ13-15時・強制決済20h（締切20h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 20, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.9,s2b_oos_S2B030_20260905144543_719b
S2B031,W3_force_close,OOS,OK,81493.0,1.476,2.331,0.2963,391,20752,50,52540,245,8201,96,第2レンジ13-15時・強制決済21h（締切20h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 21, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.9,s2b_oos_S2B031_20260905144652_820c
S2B032,W3_force_close,OOS,OK,86103.0,1.4941,2.3119,0.3131,391,20752,50,52540,245,12811,96,第2レンジ13-15時・強制決済22h（締切20h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 22, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.9,s2b_oos_S2B032_20260905144801_c361
S2B033,W3_force_close,OOS,OK,100961.0,1.4322,3.0583,0.3671,388,20752,50,52540,245,26250,93,第2レンジ13-15時・強制決済24h（締切20h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 24, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.9,s2b_oos_S2B033_20260905144910_c7d6
S2B034,W4_range_filter,OOS,OK,35841.0,1.0786,11.1236,0.1303,991,20752,50,52540,245,-37451,696,レンジ幅0.2〜0.8ATR（中心0.40〜1.00）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 0.8, ""Sca2MinRange"": 0.2, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",74.0,s2b_oos_S2B034_20260905145019_3401
S2B035,W4_range_filter,OOS,OK,43289.0,1.0945,11.1236,0.1574,993,20752,50,52540,245,-30003,698,レンジ幅0.2〜1.0ATR（中心0.40〜1.00）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.2, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.9,s2b_oos_S2B035_20260905145133_a89d
S2B036,W4_range_filter,OOS,OK,41808.0,1.0909,11.5235,0.152,995,20752,50,52540,245,-31484,700,レンジ幅0.2〜1.4ATR（中心0.40〜1.00）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.4, ""Sca2MinRange"": 0.2, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",74.0,s2b_oos_S2B036_20260905145241_3b18
S2B037,W4_range_filter,OOS,OK,61728.0,1.2316,3.4106,0.2245,554,20752,50,52540,245,-11564,259,レンジ幅0.3〜0.8ATR（中心0.40〜1.00）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 0.8, ""Sca2MinRange"": 0.3, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",69.0,s2b_oos_S2B037_20260905145355_ad41
S2B038,W4_range_filter,OOS,OK,69176.0,1.2577,3.3628,0.2515,556,20752,50,52540,245,-4116,261,レンジ幅0.3〜1.0ATR（中心0.40〜1.00）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.3, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.9,s2b_oos_S2B038_20260905145504_0ab2
S2B039,W4_range_filter,OOS,OK,67695.0,1.2504,3.3762,0.2462,558,20752,50,52540,245,-5597,263,レンジ幅0.3〜1.4ATR（中心0.40〜1.00）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.4, ""Sca2MinRange"": 0.3, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",69.2,s2b_oos_S2B039_20260905145613_7e35
