time,profit
1624375141,-500.0
1624485600,390.0
1624658400,-101.0
1624903119,-3390.0
1624987452,-514.0
1625522400,-112.0
1625570244,-489.0
1625679290,-602.0
1625695200,-260.0
1625781600,220.0
1625781600,654.0
1625868000,1237.0
1626109610,-493.0
1626174000,252.0
1626181200,-117.0
1626213600,1206.0
1626350400,-84.0
1626354218,-757.0
1626356703,-275.0
1626358767,-267.0
1626456266,-591.0
1626472800,-116.0
1626711460,1213.0
1626732000,255.0
1626739200,-8368.0
1626780674,-590.0
1626787408,-350.0
1626864516,-584.0
1626885158,-561.0
1626897992,6912.0
1626904800,163.0
1626991200,2442.0
1627077600,158.0
1627302387,-591.0
1627318800,134.0
1627336800,-254.0
1627380000,-217.0
1627399107,-275.0
1627408753,-489.0
1627423200,348.0
1627485975,-284.0
1627506040,-279.0
1627509600,-20.0
1627596000,-78.0
1628090130,-293.0
1628090314,-466.0
1628200800,467.0
1628263836,-741.0
1628272383,-556.0
1628546400,-127.0
1628625600,-444.0
1628632800,93.0
1628695836,-291.0
1628712042,-563.0
1628874651,-500.0
1628878384,-262.0
1629151200,202.0
1629193222,-551.0
1629237600,453.0
1629350431,-679.0
1629374735,5988.0
1629410400,-318.0
1629496800,-409.0
1629723600,-94.0
1629753938,-274.0
1629756000,396.0
1629842400,-1800.0
1629928800,430.0
1629991403,-2508.0
1630015200,-148.0
1630084526,-546.0
1630101600,1458.0
1630424104,-496.0
1630424306,-456.0
1630513336,-435.0
1630620000,417.0
1630641600,-355.0
1630965600,-87.0
1631023775,-563.0
1631044800,-405.0
1631052000,343.0
1631190619,-453.0
1631216539,-492.0
1631224800,314.0
1631311200,-85.0
1631311200,-227.0
1631570400,-97.0
1631640846,-486.0
1631743200,93.0
1631901036,-706.0
1631908684,1171.0
1631916000,-60.0
1632130880,1186.0
1632132000,1586.0
1632132000,-1205.0
1632146220,-498.0
1632167440,1178.0
1632175200,382.0
1632237280,-364.0
1632240997,-661.0
1632417264,1337.0
1632481837,-501.0
1632520800,234.0
1632520800,-1212.0
1632754654,1104.0
1632780000,250.0
1632780000,587.0
1632866400,272.0
1632935498,-920.0
1632946409,1105.0
1632952800,162.0
1633094199,-703.0
1633369146,-316.0
1633384800,259.0
1633471200,723.0
1633989600,500.0
1633989600,163.0
1634052325,-826.0
1634162400,32.0
1634248800,209.0
1634335200,842.0
1634653682,1253.0
1634680800,-302.0
1634767200,-2142.0
1634853600,177.0
1634939822,-1379.0
1634940000,5028.0
1635274800,-127.0
1635285600,90.0
1635285600,250.0
1635335663,-1479.0
1635347377,-282.0
1635372000,16.0
1635372000,290.0
1635434541,-3126.0
1635436800,-159.0
1635527008,-295.0
1635532035,-588.0
1635763706,-284.0
1635797222,-412.0
1635890400,-463.0
1635890400,-444.0
1636034426,910.0
1636149600,143.0
1636466400,-129.0
1636476329,-285.0
1636754400,17.0
1637100000,434.0
1637111855,2367.0
1637178216,-654.0
1637272800,-10.0
1637577036,-495.0
1637672072,1248.0
1637704800,-896.0
1637704800,-1950.0
1637791200,-207.0
1638230400,-6304.0
1638293896,-283.0
1638294818,-502.0
1638297517,-285.0
1638482400,-126.0
1638482400,-73.0
1638536674,-3426.0
1638557554,-526.0
1638828000,217.0
1638828000,713.0
1639160879,-284.0
1639384261,-293.0
1639432800,-172.0
1639519200,126.0
1639646975,-286.0
1639692000,-433.0
1639751247,-494.0
1640007994,-281.0
1640023200,-69.0
1640037600,-307.0
1640124000,879.0
1640188584,-281.0
1640210400,-145.0
1640296800,100.0
1640296800,840.0
1640633014,896.0
1640642400,356.0
1640710414,-314.0
1640754000,-96.0
1640773523,-287.0
1640796520,-281.0
1640874278,-2370.0
1641197138,1126.0
1641230898,-333.0
1641231194,-598.0
1641317195,-288.0
1641333600,1012.0
1641417090,-288.0
1641506400,-225.0
1641506400,-436.0
1641573938,-283.0
1641836616,-293.0
1641938400,231.0
1642008156,-502.0
1642008339,1188.0
1642089600,-368.0
1642111200,326.0
1642392000,-275.0
1642456800,-294.0
1642507200,-2350.0
1642507200,581.0
1642543200,1956.0
1642700967,-491.0
1643045682,-856.0
1643051862,6108.0
1643068800,-5895.0
1643215524,-530.0
1643233298,556.0
1643234259,1211.0
1643234400,194.0
1643241600,-385.0
1643320800,352.0
1643384500,-398.0
1643634000,-144.0
1643634000,1646.0
1643666400,-356.0
1643752800,46.0
1643752800,444.0
1643890292,-315.0
1643896840,4920.0
1643925600,260.0
1644012000,918.0
1644271200,-50.0
1644271200,-47.0
1644357600,151.0
1644408640,-2286.0
1644491199,1129.0
1644508769,748.0
1644530400,69.0
1644611916,-364.0
1644611979,-3168.0
1644859033,-820.0
1644876000,-459.0
1644919718,-290.0
1644962400,-708.0
1645002615,-287.0
1645048800,63.0
1645128000,-185.0
1645135200,84.0
1645207804,-704.0
1645478100,-648.0
1645492290,-496.0
1645567200,362.0
1645703545,1252.0
1645800622,-3132.0
1646074887,-500.0
1646166372,7884.0
1646172000,-100.0
1646223200,-573.0
1646413395,1332.0
1646649265,-4362.0
1646663741,-780.0
1646734880,-3360.0
1646776800,110.0
1646863200,596.0
1646927836,-3870.0
1647036000,103.0
1647295200,136.0
1647365343,-5196.0
1647381600,-776.0
1647525638,-657.0
1647539765,1215.0
1647640800,134.0
1647890317,2165.0
1647945853,-300.0
1647986400,1851.0
1648042120,-309.0
1648072800,732.0
1648092215,-331.0
1648159200,587.0
1648159200,782.0
1648245600,-1090.0
1648468117,-308.0
1648504800,-471.0
1648764000,-100.0
1648764000,678.0
1649109600,-64.0
1649196000,2004.0
1649217186,1281.0
1649282400,-427.0
1649368800,-9.0
1649668886,2891.0
1649714400,124.0
1649714400,560.0
1649887200,-535.0
1649887200,1053.0
1650060000,-441.0
1650319200,-3444.0
1650341309,1846.0
1650416740,3895.0
1650513600,-275.0
1650533311,-320.0
1650664800,1633.0
1650924000,43.0
1650924000,706.0
1651021419,-1151.0
1651096800,344.0
1651096800,-42.0
1651139739,2501.0
1651254931,-1299.0
1651269600,629.0
1651613993,-755.0
1651701399,-1378.0
1651788000,688.0
1651874400,-4050.0
1652119302,-833.0
1652177033,-326.0
1652263854,-323.0
1652349784,-888.0
1652357009,1359.0
1652373267,1476.0
1652392800,2010.0
1652742000,-7171.0
1652742000,4795.0
1652824800,1356.0
1652868254,-320.0
1652895273,-320.0
1652911200,2260.0
1652967628,-315.0
1653409959,1660.0
1653429600,569.0
1653602400,-620.0
1653602400,-427.0
1654015524,-813.0
1654108696,-943.0
1654120800,660.0
1654495200,-103.0
1654534800,-133.0
1654545854,9240.0
1654639200,638.0
1654697907,-332.0
1654725600,696.0
1654725600,720.0
1654785796,-329.0
1654812000,-800.0
1654812000,-795.0
1654898400,-995.0
1654898400,1549.0
1655139326,13332.0
1655330400,524.0
1655382688,13212.0
1655935200,-1033.0
1655979337,-335.0
1655997270,-335.0
1656021600,140.0
1656352108,-671.0
1656367200,-1440.0
1656512734,-335.0
1656626400,466.0
1656972000,1140.0
1657058400,9054.0
1657081300,-980.0
1657103238,-1250.0
1657117947,-8142.0
1657231200,958.0
1657306780,-1475.0
1657645258,-1064.0
1657663200,-240.0
1657749600,-35.0
1657796620,1642.0
1657836000,142.0
1657922400,-295.0
1658228400,-99.0
1658228400,1060.0
1658235989,-1438.0
1658268000,-406.0
1658324011,-357.0
1658420862,-379.0
1658485960,-758.0
1658527200,6222.0
1658786400,5292.0
1659111418,-500.0
1659121200,-104.0
1659123508,-338.0
1659327314,1070.0
1659460202,-666.0
1659465913,-1864.0
1659622166,-729.0
1659626068,-941.0
1659704400,-1252.0
1659704400,1117.0
1659713428,-347.0
1659719671,-339.0
1659728858,-670.0
1659736800,900.0
1659986305,-850.0
1660082400,-218.0
1660145441,1458.0
1660145501,1390.0
1660152855,1100.0
1660166819,-501.0
1660231902,1100.0
1660238800,-500.0
1660274138,-530.0
1660314116,-500.0
1660555827,-344.0
1660577439,1070.0
1660600800,459.0
1660668878,10266.0
1660670956,-329.0
1660853196,1442.0
1660946400,210.0
1661141560,1103.0
1661205600,-186.0
1661272479,-945.0
