time,profit
1478815200,1344.0
1478815200,14310.0
1478889930,1124.0
1478901600,1368.0
1479160800,713.0
1479243059,-1202.0
1479333600,-665.0
1479420000,475.0
1479478299,-803.0
1479738420,-4038.0
1479817171,-918.0
1480024800,184.0
1480024800,810.0
1480111200,-156.0
1480111200,-1674.0
1480334727,-570.0
1480434195,1839.0
1480456800,-301.0
1480515680,-284.0
1480528800,-132.0
1480529037,-285.0
1480543200,1801.0
1480611600,-214.0
1480615815,-286.0
1480716000,272.0
1480966525,1196.0
1480975200,-268.0
1481234400,-585.0
1481310939,2653.0
1481320800,603.0
1481570277,-805.0
1481571819,-287.0
1481580000,93.0
1481652842,-288.0
1481666400,-361.0
1481755721,1947.0
1481925600,123.0
1482170739,-1092.0
1482184800,815.0
1482238800,3993.0
1482238800,-2986.0
1482271200,-366.0
1482271200,-601.0
1482357600,-8.0
1482506426,1273.0
1482958530,-1364.0
1482984000,-37.0
1482991640,-1068.0
1483061960,1224.0
1483135200,-360.0
1483135200,322.0
1483467519,-294.0
1483473575,-666.0
1483480800,-78.0
1483549048,-898.0
1483605521,1211.0
1483735875,1294.0
1483999200,1739.0
1484172000,-1344.0
1484230635,1208.0
1484566217,-1113.0
1484690400,433.0
1484776830,-500.0
1484823600,1428.0
1484823600,-1385.0
1485220874,1070.0
1485251921,-500.0
1485256085,-3702.0
1485258218,-655.0
1485343096,-807.0
1485381600,3072.0
1485439300,-571.0
1485468000,413.0
1485468000,193.0
1485813600,1688.0
1485828000,-102.0
1485859179,-656.0
1485986400,-564.0
1485986400,712.0
1486030826,1226.0
1486032434,1151.0
1486130400,-106.0
1486135840,-284.0
1486135842,-887.0
1486414800,-179.0
1486444301,-292.0
1486490622,-816.0
1486492117,1243.0
1487282400,493.0
1487333131,7644.0
1487628000,245.0
1487800800,3.0
1487887200,408.0
1487953051,-281.0
1487964149,7380.0
1487964151,-280.0
1487973600,912.0
1488301465,-278.0
1488319200,505.0
1488405600,-1026.0
1488492000,61.0
1488563072,-683.0
1488575383,-285.0
1488578861,-500.0
1488837600,154.0
1488920400,-109.0
1488924000,-174.0
1488985228,-546.0
1489075085,-294.0
1489096800,-33.0
1489165889,-808.0
1489182389,1199.0
1489442400,242.0
1489482219,1232.0
1489506957,-382.0
1489528800,34.0
1489608030,-486.0
1489668797,-510.0
1489672899,-849.0
1490031722,-525.0
1490063022,1020.0
1490133600,-152.0
1490201011,1054.0
1490220000,53.0
1490281543,1015.0
1490292932,-4572.0
1490306400,119.0
1490627731,1227.0
1490887839,-4590.0
1490891922,1230.0
1490997600,-906.0
1491242439,1174.0
1491256800,5316.0
1491429600,347.0
1491910565,-416.0
1491994580,1214.0
1492034400,-186.0
1492113872,-600.0
1492120800,-144.0
1492424069,-278.0
1492517070,-458.0
1492630659,-754.0
1492639200,-157.0
1492725600,520.0
1492992120,2357.0
1493143200,-36.0
1493143200,2199.0
1493157600,771.0
1493157600,1453.0
1493330400,265.0
1493676000,-39.0
1493676000,-172.0
1493762400,258.0
1493807859,-504.0
1493895642,-3564.0
1493935200,-111.0
1494322112,-295.0
1494326465,1106.0
1494603821,-280.0
1494885600,34.0
1494885600,49.0
1494930284,1172.0
1494936569,-3612.0
1494956462,-976.0
1494972000,272.0
1495058400,1259.0
1495139698,-1309.0
1495140881,-516.0
1495231200,500.0
1495411358,-499.0
1495562911,-730.0
1495749600,-529.0
1495836000,71.0
1496095200,-68.0
1496149051,-285.0
1496219862,-287.0
1496249261,-1067.0
1496275260,4720.0
1496354400,1380.0
1496786400,497.0
1496853390,-874.0
1496975955,-337.0
1497014514,-552.0
1497023322,-544.0
1497036931,-276.0
1497304800,195.0
1497304800,6246.0
1497348692,-530.0
1497391200,-239.0
1497476059,-275.0
1497535231,-608.0
1497650400,-643.0
1497909600,-120.0
1498438800,246.0
1498581377,1171.0
1498582842,-419.0
1498672800,3016.0
1498672800,-1937.0
1498684337,-445.0
1498710160,1145.0
1498765123,-862.0
1498773600,-85.0
1499119200,654.0
1499119200,328.0
1499168082,-578.0
1499292000,-426.0
1499292000,95.0
1499378400,2142.0
1499681742,1112.0
1499724000,-429.0
1499789500,-603.0
1499796392,-585.0
1499896800,-565.0
1499953581,-326.0
1499956619,-286.0
1499970581,-286.0
1499983200,168.0
1500049521,1253.0
1500377414,-3948.0
1500415200,204.0
1500572447,-536.0
1500674400,666.0
1500980836,-2832.0
1501020000,791.0
1501089800,-2616.0
1501185605,-596.0
1501279200,-300.0
1501711200,-214.0
1501768828,-614.0
1501776000,-297.0
1501776000,-84.0
1501783200,236.0
1501783200,-333.0
