proposal_id,family,description,parameter_json,mult,window,status,net,pf,dd_pct,monthly_pct,trades,final_balance,balance_source,blown,deals,elapsed,run_id,pb_uj_net,pb_uj_n,pb_gj_net,pb_gj_n,rsi_uj_net,rsi_uj_n,rsi_eu_net,rsi_eu_n,rsi_gu_net,rsi_gu_n,pair_net,pair_n,carry_net,carry_n,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n
R035,G,マスク=31 / risk%=0.25 / FxRiskRefCap=0 / RefCap=0 / 倍率=2,"{""FxRiskMask"":31,""FxRiskPct"":0.25,""FxRiskRefCap"":0,""GlobalLotMult"":2,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":0,""RefCap_PB_GBPJPY"":0,""RefCap_PB_USDJPY"":0}",2,OOS,OK,1415411.0,1.4719,40.0143,5.1469,1375,1915411.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxrisk1\run_deals\fr_oos_R035_20260909170425_44f0_deals.csv,273.7,fr_oos_R035_20260909170425_44f0,67911,18,631230,15,24766,87,24047,269,110269,62,3919,30,-135654,7,-4448,266,84438,621
R036,G,マスク=31 / risk%=0.5 / FxRiskRefCap=0 / RefCap=0 / 倍率=1,"{""FxRiskMask"":31,""FxRiskPct"":0.5,""FxRiskRefCap"":0,""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":0,""RefCap_PB_GBPJPY"":0,""RefCap_PB_USDJPY"":0}",1,OOS,OK,755318.0,1.3966,23.1298,2.7466,1375,1255318.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxrisk1\run_deals\fr_oos_R036_20260909170859_a3f1_deals.csv,284.7,fr_oos_R036_20260909170859_a3f1,8092,18,281753,15,37688,87,13974,269,94697,62,1996,30,-77478,7,-2224,266,42219,621
R037,G,マスク=31 / risk%=0.5 / FxRiskRefCap=0 / RefCap=0 / 倍率=2,"{""FxRiskMask"":31,""FxRiskPct"":0.5,""FxRiskRefCap"":0,""GlobalLotMult"":2,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":0,""RefCap_PB_GBPJPY"":0,""RefCap_PB_USDJPY"":0}",2,OOS,OK,2071976.0,1.3944,41.817,7.5345,1375,2571976.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxrisk1\run_deals\fr_oos_R037_20260909171344_846d_deals.csv,264.7,fr_oos_R037_20260909171344_846d,91348,18,894588,15,57317,87,-1325,269,284178,62,3919,30,-239388,7,-4448,266,84438,621
R038,H,マスク=31 / risk%=0.15 / FxRiskRefCap=250000 / RefCap=250000 / 倍率=1,"{""FxRiskMask"":31,""FxRiskPct"":0.15,""FxRiskRefCap"":250000,""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",1,OOS,OK,252657.0,1.3865,10.6802,0.9188,1375,752657.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxrisk1\run_deals\fr_oos_R038_20260909171809_45fa_deals.csv,269.7,fr_oos_R038_20260909171809_45fa,-4306,18,75800,15,7870,87,3805,269,16984,62,1996,30,-21683,7,-2224,266,42219,621
R039,H,マスク=31 / risk%=0.15 / FxRiskRefCap=0 / RefCap=250000 / 倍率=1,"{""FxRiskMask"":31,""FxRiskPct"":0.15,""FxRiskRefCap"":0,""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",1,OOS,OK,253534.0,1.3364,11.3127,0.9219,1375,753534.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxrisk1\run_deals\fr_oos_R039_20260909172238_9613_deals.csv,254.6,fr_oos_R039_20260909172238_9613,-4306,18,75800,15,5293,87,5287,269,18750,62,1996,30,-21683,7,-2224,266,42219,621
R040,H,マスク=31 / risk%=0.35 / FxRiskRefCap=250000 / RefCap=250000 / 倍率=1,"{""FxRiskMask"":31,""FxRiskPct"":0.35,""FxRiskRefCap"":250000,""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",1,OOS,OK,256832.0,1.3359,11.9381,0.9339,1375,756832.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxrisk1\run_deals\fr_oos_R040_20260909172653_3887_deals.csv,269.8,fr_oos_R040_20260909172653_3887,-4306,18,75800,15,7870,87,7980,269,16984,62,1996,30,-21683,7,-2224,266,42219,621
R041,H,マスク=7 / risk%=0.35 / FxRiskRefCap=250000 / RefCap=250000 / 倍率=1,"{""FxRiskMask"":7,""FxRiskPct"":0.35,""FxRiskRefCap"":250000,""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",1,OOS,OK,256832.0,1.3359,11.9381,0.9339,1375,756832.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxrisk1\run_deals\fr_oos_R041_20260909173123_df34_deals.csv,269.7,fr_oos_R041_20260909173123_df34,-4306,18,75800,15,7870,87,7980,269,16984,62,1996,30,-21683,7,-2224,266,42219,621
R042,H,マスク=7 / risk%=0.75 / FxRiskRefCap=250000 / RefCap=250000 / 倍率=1,"{""FxRiskMask"":7,""FxRiskPct"":0.75,""FxRiskRefCap"":250000,""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",1,OOS,OK,317846.0,1.3074,11.0626,1.1558,1375,817846.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxrisk1\run_deals\fr_oos_R042_20260909173552_8e97_deals.csv,269.7,fr_oos_R042_20260909173552_8e97,-4306,18,75800,15,23751,87,18724,269,50960,62,1996,30,-21683,7,-2224,266,42219,621
R043,H,マスク=24 / risk%=0.35 / FxRiskRefCap=250000 / RefCap=250000 / 倍率=1,"{""FxRiskMask"":24,""FxRiskPct"":0.35,""FxRiskRefCap"":250000,""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",1,OOS,OK,252657.0,1.3865,10.6802,0.9188,1375,752657.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxrisk1\run_deals\fr_oos_R043_20260909174022_457b_deals.csv,254.6,fr_oos_R043_20260909174022_457b,-4306,18,75800,15,7870,87,3805,269,16984,62,1996,30,-21683,7,-2224,266,42219,621
R044,H,マスク=24 / risk%=0.75 / FxRiskRefCap=250000 / RefCap=250000 / 倍率=1,"{""FxRiskMask"":24,""FxRiskPct"":0.75,""FxRiskRefCap"":250000,""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",1,OOS,OK,252657.0,1.3865,10.6802,0.9188,1375,752657.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxrisk1\run_deals\fr_oos_R044_20260909174437_6444_deals.csv,264.7,fr_oos_R044_20260909174437_6444,-4306,18,75800,15,7870,87,3805,269,16984,62,1996,30,-21683,7,-2224,266,42219,621
