account,deposit,window,net,pf,dd_pct,monthly_pct,rf,n
OANDA_FX,77954,IS,277106.0,1.3945,35.6479,5.924562348735579,9.971800328326065,1573
OANDA_FX,77954,FULL,390740.0,1.3163,30.7523,4.358646291960365,16.299409266150562,2926
OANDA_CFD,102183,IS,411249.0,2.2315,11.4808,6.707720462307821,35.05532957097669,301
OANDA_CFD,102183,FULL,457089.0,1.9358,8.4982,3.889773207404107,52.63749015691232,630
XM,117366,IS,842616.0,1.7067,21.968,11.965645928122285,32.681115972657366,1967
XM,117366,FULL,1097256.0,1.5709,22.4273,8.12957459719095,41.68585066757743,3717
