key,value
net_profit,229562.00
profit_factor,1.3163
max_dd_pct,7.5520
equity_dd_pct,7.6622
equity_dd_abs,38847.00
total_trades,1563
win_trades,661
loss_trades,902
initial_deposit,500000.00
final_balance,729562.00
