key,value
net_profit,235040.00
profit_factor,1.3222
max_dd_pct,7.0786
equity_dd_pct,7.9004
equity_dd_abs,58921.00
total_trades,1570
win_trades,665
loss_trades,905
initial_deposit,500000.00
final_balance,735040.00
