key,value
net_profit,233104.00
profit_factor,1.3199
max_dd_pct,7.5520
equity_dd_pct,7.9317
equity_dd_abs,58921.00
total_trades,1568
win_trades,664
loss_trades,904
initial_deposit,500000.00
final_balance,733104.00
