proposal_id,family,description,parameter_json,mult,window,status,net,pf,dd_pct,monthly_pct,trades,final_balance,balance_source,blown,deals,elapsed,run_id,pb_uj_net,pb_uj_n,pb_gj_net,pb_gj_n,rsi_uj_net,rsi_uj_n,rsi_eu_net,rsi_eu_n,rsi_gu_net,rsi_gu_n,pair_net,pair_n,carry_net,carry_n,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n
C011,compounding,RefCap=0(複利) / 倍率3 / 重み全1.0,"{""GlobalLotMult"":3,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":0,""RefCap_PB_GBPJPY"":0,""RefCap_PB_USDJPY"":0}",3,FULL,OK,125853829.0,3.3847,56.9873,218.8762,2969,126353829.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxcomp1\run_deals\fc_full_C011_20260909002934_c9c3_deals.csv,675.6,fc_full_C011_20260909002934_c9c3,13054816,77,34271160,28,46135,195,35387,544,89155,127,45211,86,-480036,13,49016,594,347976,1305
C012,compounding,RefCap=0(複利) / 倍率3 / 重み0.5-0.5,"{""GlobalLotMult"":3,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":0.5,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.5,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":0,""RefCap_PB_GBPJPY"":0,""RefCap_PB_USDJPY"":0}",3,FULL,OK,57970965.0,2.7269,50.9705,100.8191,2969,58470965.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxcomp1\run_deals\fc_full_C012_20260909004049_fc2e_deals.csv,670.6,fc_full_C012_20260909004049_fc2e,7671902,77,20852802,28,46135,195,35387,544,89155,127,45211,86,955438,13,49016,594,179640,1305
C013,fixed,RefCap=250000(固定) / 倍率1 / 重み全1.0,"{""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",1,FULL,OK,925988.0,1.592,10.6802,1.6104,2969,1425988.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxcomp1\run_deals\fc_full_C013_20260909005200_68af_deals.csv,710.7,fc_full_C013_20260909005200_68af,102468,77,183565,28,15310,195,11835,544,29715,127,15093,86,223074,13,16339,594,115992,1305
C014,fixed,RefCap=250000(固定) / 倍率1 / 重み0.5-0.5,"{""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":0.5,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.5,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",1,FULL,OK,645052.0,1.5096,8.7941,1.1218,2969,1145052.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxcomp1\run_deals\fc_full_C014_20260909010350_300f_deals.csv,695.8,fc_full_C014_20260909010350_300f,102468,77,183565,28,15310,195,11835,544,29715,127,15093,86,112013,13,16339,594,52344,1305
C015,fixed,RefCap=250000(固定) / 倍率2 / 重み全1.0,"{""GlobalLotMult"":2,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",2,FULL,OK,1897451.0,1.5987,19.8057,3.2999,2969,2397451.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxcomp1\run_deals\fc_full_C015_20260909011526_d131_deals.csv,675.7,fc_full_C015_20260909011526_d131,201275,77,378022,28,30797,195,23531,544,59443,127,30111,86,466371,13,32678,594,231984,1305
C016,fixed,RefCap=250000(固定) / 倍率2 / 重み0.5-0.5,"{""GlobalLotMult"":2,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":0.5,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.5,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",2,FULL,OK,1307474.0,1.5748,15.8275,2.2739,2969,1807474.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxcomp1\run_deals\fc_full_C016_20260909012642_b721_deals.csv,665.6,fc_full_C016_20260909012642_b721,201275,77,378022,28,30797,195,23531,544,59443,127,30111,86,223074,13,32678,594,115992,1305
C017,fixed,RefCap=250000(固定) / 倍率3 / 重み全1.0,"{""GlobalLotMult"":3,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",3,FULL,OK,2837670.0,1.5961,27.0308,4.9351,2969,3337670.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxcomp1\run_deals\fc_full_C017_20260909013748_8ad3_deals.csv,670.6,fc_full_C017_20260909013748_8ad3,305750,77,573759,28,46135,195,35387,544,89155,127,45211,86,689445,13,49016,594,347976,1305
C018,fixed,RefCap=250000(固定) / 倍率3 / 重み0.5-0.5,"{""GlobalLotMult"":3,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":0.5,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.5,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",3,FULL,OK,1978061.0,1.6031,21.9565,3.4401,2969,2478061.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxcomp1\run_deals\fc_full_C018_20260909014858_5598_deals.csv,670.9,fc_full_C018_20260909014858_5598,305750,77,573759,28,46135,195,35387,544,89155,127,45211,86,335087,13,49016,594,179640,1305
C019,fixed,RefCap=500000(固定) / 倍率1 / 重み全1.0,"{""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":500000,""RefCap_PB_GBPJPY"":500000,""RefCap_PB_USDJPY"":500000}",1,FULL,OK,1693237.0,1.8461,19.3869,2.9448,2969,2193237.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxcomp1\run_deals\fc_full_C019_20260909020009_86ec_deals.csv,953.5,fc_full_C019_20260909020009_86ec,201275,77,378022,28,15310,195,11835,544,29715,127,15093,86,466371,13,16339,594,115992,1305
C020,fixed,RefCap=500000(固定) / 倍率1 / 重み0.5-0.5,"{""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":0.5,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.5,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":500000,""RefCap_PB_GBPJPY"":500000,""RefCap_PB_USDJPY"":500000}",1,FULL,OK,1155604.0,1.7094,16.8925,2.0097,2969,1655604.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxcomp1\run_deals\fc_full_C020_20260909021603_57f0_deals.csv,708.4,fc_full_C020_20260909021603_57f0,201275,77,378022,28,15310,195,11835,544,29715,127,15093,86,223074,13,16339,594,52344,1305
