proposal_id,family,description,parameter_json,mult,window,status,net,pf,dd_pct,monthly_pct,trades,deals,elapsed,run_id,pb_uj_net,pb_uj_n,pb_gj_net,pb_gj_n,rsi_uj_net,rsi_uj_n,rsi_eu_net,rsi_eu_n,rsi_gu_net,rsi_gu_n,pair_net,pair_n,carry_net,carry_n,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n
W036,E,Mult_SCA_GBPJPY=0.4、全体倍率=5,"{""GlobalLotMult"":5.0,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.4,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0}",5.0,OOS,OK,516986.0,1.2997,13.7357,1.8799,1375,C:\Users\f\source\repos\mt5_backtester\ml\fxweight1\run_deals\fw_oos_W036_20260907225939_05ce_deals.csv,260.1,fw_oos_W036_20260907225939_05ce,-9679,18,123898,15,39756,87,18807,269,84931,62,9817,30,-34082,7,-11121,266,84438,621
W037,E,Mult_SCA_GBPJPY=0.4、全体倍率=6,"{""GlobalLotMult"":6.0,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.4,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0}",6.0,OOS,OK,626322.0,1.3125,15.292,2.2775,1375,C:\Users\f\source\repos\mt5_backtester\ml\fxweight1\run_deals\fw_oos_W037_20260907230400_3920_deals.csv,260.2,fw_oos_W037_20260907230400_3920,-9988,18,149086,15,47627,87,22513,269,101919,62,11769,30,-41354,7,-13345,266,103706,621
W038,E,Mult_SCA_GBPJPY=0.6、全体倍率=3,"{""GlobalLotMult"":3.0,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.6,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0}",3.0,OOS,OK,333931.0,1.3038,9.0182,1.2143,1375,C:\Users\f\source\repos\mt5_backtester\ml\fxweight1\run_deals\fw_oos_W038_20260907230820_0fde_deals.csv,260.1,fw_oos_W038_20260907230820_0fde,-7682,18,73647,15,23751,87,11293,269,50960,62,5889,30,-19735,7,-6673,266,80755,621
W039,E,Mult_SCA_GBPJPY=0.6、全体倍率=4,"{""GlobalLotMult"":4.0,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.6,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0}",4.0,OOS,OK,448731.0,1.2845,12.1597,1.6317,1375,C:\Users\f\source\repos\mt5_backtester\ml\fxweight1\run_deals\fw_oos_W039_20260907231240_862a_deals.csv,260.1,fw_oos_W039_20260907231240_862a,-7054,18,99607,15,31709,87,14999,269,67947,62,7827,30,-27007,7,-8897,266,103706,621
W040,E,Mult_SCA_GBPJPY=0.6、全体倍率=5,"{""GlobalLotMult"":5.0,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.6,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0}",5.0,OOS,OK,559205.0,1.2713,15.2178,2.0335,1375,C:\Users\f\source\repos\mt5_backtester\ml\fxweight1\run_deals\fw_oos_W040_20260907231700_ce8e_deals.csv,265.2,fw_oos_W040_20260907231700_ce8e,-9679,18,123898,15,39756,87,18807,269,84931,62,9817,30,-34082,7,-11121,266,126657,621
W041,E,Mult_SCA_GBPJPY=0.6、全体倍率=6,"{""GlobalLotMult"":6.0,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.6,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0}",6.0,OOS,OK,678175.0,1.2856,16.6827,2.4661,1375,C:\Users\f\source\repos\mt5_backtester\ml\fxweight1\run_deals\fw_oos_W041_20260907232125_b2f5_deals.csv,260.1,fw_oos_W041_20260907232125_b2f5,-9988,18,149086,15,47627,87,22513,269,101919,62,11769,30,-41354,7,-13345,266,155559,621
W042,F,Mult_SCA_GBPJPY=0.5、Mult_CARRY=0.5、全体倍率=3,"{""GlobalLotMult"":3.0,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":0.5,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.5,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0}",3.0,OOS,OK,268904.0,1.2597,7.9903,0.9778,1375,C:\Users\f\source\repos\mt5_backtester\ml\fxweight1\run_deals\fw_oos_W042_20260907232545_b011_deals.csv,260.1,fw_oos_W042_20260907232545_b011,-7682,18,73647,15,23751,87,11293,269,50960,62,5889,30,-9025,7,-6673,266,71121,621
W043,F,Mult_SCA_GBPJPY=0.5、Mult_CARRY=0.5、全体倍率=4,"{""GlobalLotMult"":4.0,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":0.5,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.5,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0}",4.0,OOS,OK,355727.0,1.2421,10.1436,1.2936,1375,C:\Users\f\source\repos\mt5_backtester\ml\fxweight1\run_deals\fw_oos_W043_20260907233005_c92a_deals.csv,260.2,fw_oos_W043_20260907233005_c92a,-7054,18,99607,15,31709,87,14999,269,67947,62,7827,30,-12660,7,-8897,266,84438,621
W044,F,Mult_SCA_GBPJPY=0.5、Mult_CARRY=0.5、全体倍率=5,"{""GlobalLotMult"":5.0,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":0.5,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.5,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0}",5.0,OOS,OK,453924.0,1.2553,12.0441,1.6506,1375,C:\Users\f\source\repos\mt5_backtester\ml\fxweight1\run_deals\fw_oos_W044_20260907233426_542f_deals.csv,260.1,fw_oos_W044_20260907233426_542f,-9679,18,123898,15,39756,87,18807,269,84931,62,9817,30,-16036,7,-11121,266,113340,621
W045,F,Mult_SCA_GBPJPY=0.5、Mult_CARRY=0.5、全体倍率=6,"{""GlobalLotMult"":6.0,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":0.5,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.5,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0}",6.0,OOS,OK,538847.0,1.2435,14.0042,1.9594,1375,C:\Users\f\source\repos\mt5_backtester\ml\fxweight1\run_deals\fw_oos_W045_20260907233846_0a38_deals.csv,265.1,fw_oos_W045_20260907233846_0a38,-9988,18,149086,15,47627,87,22513,269,101919,62,11769,30,-19735,7,-13345,266,126657,621
