key,value
net_profit,121701.00
profit_factor,1.2220
max_dd_pct,5.6930
equity_dd_pct,6.8717
equity_dd_abs,38303.00
total_trades,1384
win_trades,557
loss_trades,827
initial_deposit,500000.00
final_balance,621701.00
