key,value
net_profit,125838.00
profit_factor,1.2288
max_dd_pct,5.1901
equity_dd_pct,6.6393
equity_dd_abs,37259.00
total_trades,1390
win_trades,563
loss_trades,827
initial_deposit,500000.00
final_balance,625838.00
