key,value
net_profit,266961.00
profit_factor,1.3644
max_dd_pct,6.1078
equity_dd_pct,7.5112
equity_dd_abs,57486.00
total_trades,1595
win_trades,686
loss_trades,909
initial_deposit,500000.00
final_balance,766961.00
