key,value
net_profit,117843.00
profit_factor,1.2192
max_dd_pct,5.2719
equity_dd_pct,7.0442
equity_dd_abs,39053.00
total_trades,1375
win_trades,555
loss_trades,820
initial_deposit,500000.00
final_balance,617843.00
