key,value
net_profit,249517.00
profit_factor,1.3342
max_dd_pct,7.2582
equity_dd_pct,7.5102
equity_dd_abs,57107.00
total_trades,1574
win_trades,674
loss_trades,900
initial_deposit,500000.00
final_balance,749517.00
