key,value
net_profit,185974.00
profit_factor,1.2349
max_dd_pct,7.0674
equity_dd_pct,6.7983
equity_dd_abs,34959.00
total_trades,1621
win_trades,686
loss_trades,935
initial_deposit,500000.00
final_balance,685974.00
