key,value
net_profit,116196.00
profit_factor,1.2140
max_dd_pct,5.2912
equity_dd_pct,7.0488
equity_dd_abs,38929.00
total_trades,1380
win_trades,556
loss_trades,824
initial_deposit,500000.00
final_balance,616196.00
