key,value
net_profit,253841.00
profit_factor,1.3413
max_dd_pct,7.4506
equity_dd_pct,7.5267
equity_dd_abs,38166.00
total_trades,1593
win_trades,679
loss_trades,914
initial_deposit,500000.00
final_balance,753841.00
