attempt_id,run_id,proposal_id,family,combo,window,terminal,status,decision,gate_code,reason,returncode,net,pf,dd_pct,trades,net_ratio,pf_ratio,dd_delta,trade_ratio,baseline_net,baseline_pf,baseline_dd,baseline_trades,baseline_at,baseline_pb,baseline_sca,pb_gold,sca_gold,sca_net_ratio,pb_drift,ea_sha256,pos_common,pos_base_only,pos_cand_only,changed_positions,improved,worsened,top1_share,top3_share,years_up,years_down,parameter_json,config_file,deal_file,started_at,finished_at,elapsed_seconds,error
3428655a89094ebb82ce48991d185c16,hx_is_HX0057_20260903212841_024ee8,HX0057,H04_extend_x_rr,-,IS,PROD,OK,IS_SURVIVOR_CONCENTRATED,PROFIT_UP_BUT_FEW_TRADES,"IS net=455243 (+8.94%), PF=2.3663 (+4.97%), DD=3.7357% (-0.0585pt), trades=301 (+0.00%), SCA枠=231846 (+19.21%)",0,455243.0,2.3663,3.7357,301,1.089406,1.049729,-0.0585,1.0,417882.0,2.2542,3.7942,301,2026-09-03T20:28:42+00:00,223397,194485,223397,231846,1.192102,0,6C61494FDDF6194C8F2D73FC1F534F4F7BDF32D25B2175F74AF093D60DE93E65,242,0,0,15,8,7,0.9593,1.3056,5,1,"{""PprotArmPeakATR"": 0.5, ""PprotMode"": 14, ""PprotSleeveMask"": 2, ""PprotTPExtendATR"": 0.85, ""SxitForceCloseHour"": -1, ""SxitHoldUntilHour"": -1, ""SxitLossCloseHour"": -1, ""SxitMode"": 4, ""SxitProfitCloseHour"": -1, ""SxitProfitHoldATR"": 0.0, ""SxitRR"": 1.6, ""SxitSleeveMask"": 1, ""SxitTPATR"": 0.0, ""SxitTradeEndHour"": -1}",ml\scaexit2\configs\hx_is_HX0057_20260903212841_024ee8.yaml,hx_is_HX0057_20260903212841_024ee8_deals.csv,2026-09-03T21:28:41+00:00,2026-09-03T21:31:35+00:00,174.277,
f560ad2fbb0c47039f14c9845df598d1,hx_oos_HX0056_20260903212212_f1c0a5,HX0056,H03_rr_fine,-,OOS,BT1,OK,ADOPT_CANDIDATE,BOTH_WINDOWS_IMPROVED,"IS net=441166 (+5.57%), PF=2.3241 (+3.10%), DD=3.7421% (-0.0521pt), trades=301 (+0.00%), SCA枠=217769 (+11.97%); OOS net=60021 (+26.79%), PF=1.3901 (+6.30%), DD=1.8498% (-0.0178pt), trades=329 (+0.00%), SCA枠=53858 (+30.80%)",0,60021.0,1.3901,1.8498,329,1.267871,1.063011,-0.0178,1.0,47340.0,1.3077,1.8676,329,2026-09-03T20:39:38+00:00,6163,41177,6163,53858,1.307963,0,6C61494FDDF6194C8F2D73FC1F534F4F7BDF32D25B2175F74AF093D60DE93E65,280,0,0,24,14,10,0.4112,0.713,4,1,"{""PprotArmPeakATR"": 0.0, ""PprotMode"": 0, ""PprotSleeveMask"": 0, ""PprotTPExtendATR"": 0.0, ""SxitForceCloseHour"": -1, ""SxitHoldUntilHour"": -1, ""SxitLossCloseHour"": -1, ""SxitMode"": 3, ""SxitProfitCloseHour"": -1, ""SxitProfitHoldATR"": 0.0, ""SxitRR"": 2.6, ""SxitSleeveMask"": 1, ""SxitTPATR"": 0.0, ""SxitTradeEndHour"": -1}",ml\scaexit2\configs\hx_oos_HX0056_20260903212212_f1c0a5.yaml,hx_oos_HX0056_20260903212212_f1c0a5_deals.csv,2026-09-03T21:22:12+00:00,2026-09-03T21:33:02+00:00,650.042,
6c49fe46614a42b5a338fcfdfbcc887a,hx_is_HX0058_20260903213303_1fafba,HX0058,H04_extend_x_rr,-,IS,BT1,OK,IS_SURVIVOR_CONCENTRATED,PROFIT_UP_BUT_FEW_TRADES,"IS net=458294 (+9.67%), PF=2.3755 (+5.38%), DD=3.7319% (-0.0623pt), trades=301 (+0.00%), SCA枠=234897 (+20.78%)",0,458294.0,2.3755,3.7319,301,1.096707,1.053811,-0.0623,1.0,417882.0,2.2542,3.7942,301,2026-09-03T20:28:42+00:00,223397,194485,223397,234897,1.20779,0,6C61494FDDF6194C8F2D73FC1F534F4F7BDF32D25B2175F74AF093D60DE93E65,242,0,0,15,8,7,0.9415,1.2825,5,1,"{""PprotArmPeakATR"": 0.5, ""PprotMode"": 14, ""PprotSleeveMask"": 2, ""PprotTPExtendATR"": 0.9, ""SxitForceCloseHour"": -1, ""SxitHoldUntilHour"": -1, ""SxitLossCloseHour"": -1, ""SxitMode"": 4, ""SxitProfitCloseHour"": -1, ""SxitProfitHoldATR"": 0.0, ""SxitRR"": 1.6, ""SxitSleeveMask"": 1, ""SxitTPATR"": 0.0, ""SxitTradeEndHour"": -1}",ml\scaexit2\configs\hx_is_HX0058_20260903213303_1fafba.yaml,hx_is_HX0058_20260903213303_1fafba_deals.csv,2026-09-03T21:33:03+00:00,2026-09-03T21:35:57+00:00,174.259,
36267ce504b4432895115715a97a8e61,hx_oos_HX0057_20260903213135_78f404,HX0057,H04_extend_x_rr,-,OOS,PROD,OK,ADOPT_CANDIDATE,BOTH_WINDOWS_IMPROVED,"IS net=455243 (+8.94%), PF=2.3663 (+4.97%), DD=3.7357% (-0.0585pt), trades=301 (+0.00%), SCA枠=231846 (+19.21%); OOS net=55992 (+18.28%), PF=1.3639 (+4.30%), DD=1.8613% (-0.0063pt), trades=329 (+0.00%), SCA枠=49829 (+21.01%)",0,55992.0,1.3639,1.8613,329,1.182763,1.042976,-0.0063,1.0,47340.0,1.3077,1.8676,329,2026-09-03T20:39:38+00:00,6163,41177,6163,49829,1.210117,0,6C61494FDDF6194C8F2D73FC1F534F4F7BDF32D25B2175F74AF093D60DE93E65,280,0,0,24,13,11,0.4982,0.8434,3,2,"{""PprotArmPeakATR"": 0.5, ""PprotMode"": 14, ""PprotSleeveMask"": 2, ""PprotTPExtendATR"": 0.85, ""SxitForceCloseHour"": -1, ""SxitHoldUntilHour"": -1, ""SxitLossCloseHour"": -1, ""SxitMode"": 4, ""SxitProfitCloseHour"": -1, ""SxitProfitHoldATR"": 0.0, ""SxitRR"": 1.6, ""SxitSleeveMask"": 1, ""SxitTPATR"": 0.0, ""SxitTradeEndHour"": -1}",ml\scaexit2\configs\hx_oos_HX0057_20260903213135_78f404.yaml,hx_oos_HX0057_20260903213135_78f404_deals.csv,2026-09-03T21:31:35+00:00,2026-09-03T21:43:47+00:00,731.342,
19947326fd4540bf852c90c659287c1c,hx_is_HX0059_20260903214347_ad317b,HX0059,H04_extend_x_rr,-,IS,PROD,OK,IS_SURVIVOR_CONCENTRATED,PROFIT_UP_BUT_FEW_TRADES,"IS net=460326 (+10.16%), PF=2.3816 (+5.65%), DD=3.7330% (-0.0612pt), trades=301 (+0.00%), SCA枠=236929 (+21.82%)",0,460326.0,2.3816,3.733,301,1.101569,1.056517,-0.0612,1.0,417882.0,2.2542,3.7942,301,2026-09-03T20:28:42+00:00,223397,194485,223397,236929,1.218238,0,6C61494FDDF6194C8F2D73FC1F534F4F7BDF32D25B2175F74AF093D60DE93E65,242,0,0,15,8,7,0.9502,1.2785,5,1,"{""PprotArmPeakATR"": 0.5, ""PprotMode"": 14, ""PprotSleeveMask"": 2, ""PprotTPExtendATR"": 0.95, ""SxitForceCloseHour"": -1, ""SxitHoldUntilHour"": -1, ""SxitLossCloseHour"": -1, ""SxitMode"": 4, ""SxitProfitCloseHour"": -1, ""SxitProfitHoldATR"": 0.0, ""SxitRR"": 1.6, ""SxitSleeveMask"": 1, ""SxitTPATR"": 0.0, ""SxitTradeEndHour"": -1}",ml\scaexit2\configs\hx_is_HX0059_20260903214347_ad317b.yaml,hx_is_HX0059_20260903214347_ad317b_deals.csv,2026-09-03T21:43:47+00:00,2026-09-03T21:46:52+00:00,184.463,
e1d7454e7424428da0ddeea5a8b8d794,hx_oos_HX0058_20260903213557_2a970a,HX0058,H04_extend_x_rr,-,OOS,BT1,OK,ADOPT_CANDIDATE,BOTH_WINDOWS_IMPROVED,"IS net=458294 (+9.67%), PF=2.3755 (+5.38%), DD=3.7319% (-0.0623pt), trades=301 (+0.00%), SCA枠=234897 (+20.78%); OOS net=56278 (+18.88%), PF=1.3658 (+4.44%), DD=1.8613% (-0.0063pt), trades=329 (+0.00%), SCA枠=50115 (+21.71%)",0,56278.0,1.3658,1.8613,329,1.188804,1.044429,-0.0063,1.0,47340.0,1.3077,1.8676,329,2026-09-03T20:39:38+00:00,6163,41177,6163,50115,1.217063,0,6C61494FDDF6194C8F2D73FC1F534F4F7BDF32D25B2175F74AF093D60DE93E65,280,0,0,24,13,11,0.5142,0.8484,3,2,"{""PprotArmPeakATR"": 0.5, ""PprotMode"": 14, ""PprotSleeveMask"": 2, ""PprotTPExtendATR"": 0.9, ""SxitForceCloseHour"": -1, ""SxitHoldUntilHour"": -1, ""SxitLossCloseHour"": -1, ""SxitMode"": 4, ""SxitProfitCloseHour"": -1, ""SxitProfitHoldATR"": 0.0, ""SxitRR"": 1.6, ""SxitSleeveMask"": 1, ""SxitTPATR"": 0.0, ""SxitTradeEndHour"": -1}",ml\scaexit2\configs\hx_oos_HX0058_20260903213557_2a970a.yaml,hx_oos_HX0058_20260903213557_2a970a_deals.csv,2026-09-03T21:35:57+00:00,2026-09-03T21:48:08+00:00,730.337,
a98940dea0474d94be4009095d703fcf,hx_is_HX0060_20260903214808_356bad,HX0060,H04_extend_x_rr,-,IS,BT1,OK,IS_SURVIVOR_CONCENTRATED,PROFIT_UP_BUT_FEW_TRADES,"IS net=463284 (+10.86%), PF=2.3905 (+6.05%), DD=3.7299% (-0.0643pt), trades=301 (+0.00%), SCA枠=239887 (+23.34%)",0,463284.0,2.3905,3.7299,301,1.108648,1.060465,-0.0643,1.0,417882.0,2.2542,3.7942,301,2026-09-03T20:28:42+00:00,223397,194485,223397,239887,1.233447,0,6C61494FDDF6194C8F2D73FC1F534F4F7BDF32D25B2175F74AF093D60DE93E65,242,0,0,15,8,7,0.9376,1.2604,5,1,"{""PprotArmPeakATR"": 0.5, ""PprotMode"": 14, ""PprotSleeveMask"": 2, ""PprotTPExtendATR"": 1.0, ""SxitForceCloseHour"": -1, ""SxitHoldUntilHour"": -1, ""SxitLossCloseHour"": -1, ""SxitMode"": 4, ""SxitProfitCloseHour"": -1, ""SxitProfitHoldATR"": 0.0, ""SxitRR"": 1.6, ""SxitSleeveMask"": 1, ""SxitTPATR"": 0.0, ""SxitTradeEndHour"": -1}",ml\scaexit2\configs\hx_is_HX0060_20260903214808_356bad.yaml,hx_is_HX0060_20260903214808_356bad_deals.csv,2026-09-03T21:48:08+00:00,2026-09-03T21:50:57+00:00,169.077,
54503a71aced4c32aa78b839cae9d28e,hx_oos_HX0059_20260903214652_3ecdd1,HX0059,H04_extend_x_rr,-,OOS,PROD,OK,ADOPT_CANDIDATE,BOTH_WINDOWS_IMPROVED,"IS net=460326 (+10.16%), PF=2.3816 (+5.65%), DD=3.7330% (-0.0612pt), trades=301 (+0.00%), SCA枠=236929 (+21.82%); OOS net=56592 (+19.54%), PF=1.3678 (+4.60%), DD=1.8613% (-0.0063pt), trades=329 (+0.00%), SCA枠=50429 (+22.47%)",0,56592.0,1.3678,1.8613,329,1.195437,1.045959,-0.0063,1.0,47340.0,1.3077,1.8676,329,2026-09-03T20:39:38+00:00,6163,41177,6163,50429,1.224689,0,6C61494FDDF6194C8F2D73FC1F534F4F7BDF32D25B2175F74AF093D60DE93E65,280,0,0,24,13,11,0.5307,0.8535,3,2,"{""PprotArmPeakATR"": 0.5, ""PprotMode"": 14, ""PprotSleeveMask"": 2, ""PprotTPExtendATR"": 0.95, ""SxitForceCloseHour"": -1, ""SxitHoldUntilHour"": -1, ""SxitLossCloseHour"": -1, ""SxitMode"": 4, ""SxitProfitCloseHour"": -1, ""SxitProfitHoldATR"": 0.0, ""SxitRR"": 1.6, ""SxitSleeveMask"": 1, ""SxitTPATR"": 0.0, ""SxitTradeEndHour"": -1}",ml\scaexit2\configs\hx_oos_HX0059_20260903214652_3ecdd1.yaml,hx_oos_HX0059_20260903214652_3ecdd1_deals.csv,2026-09-03T21:46:52+00:00,2026-09-03T21:59:09+00:00,736.523,
c09ee5dfb43e419095d1e57e98de744b,hx_is_HX0061_20260903215909_8dc5e2,HX0061,H04_extend_x_rr,-,IS,PROD,OK,IS_SURVIVOR_CONCENTRATED,PROFIT_UP_BUT_FEW_TRADES,"IS net=461109 (+10.34%), PF=2.3840 (+5.76%), DD=3.7495% (-0.0447pt), trades=301 (+0.00%), SCA枠=237712 (+22.23%)",0,461109.0,2.384,3.7495,301,1.103443,1.057581,-0.0447,1.0,417882.0,2.2542,3.7942,301,2026-09-03T20:28:42+00:00,223397,194485,223397,237712,1.222264,0,6C61494FDDF6194C8F2D73FC1F534F4F7BDF32D25B2175F74AF093D60DE93E65,242,0,0,15,8,7,1.0371,1.2735,5,1,"{""PprotArmPeakATR"": 0.5, ""PprotMode"": 14, ""PprotSleeveMask"": 2, ""PprotTPExtendATR"": 1.05, ""SxitForceCloseHour"": -1, ""SxitHoldUntilHour"": -1, ""SxitLossCloseHour"": -1, ""SxitMode"": 4, ""SxitProfitCloseHour"": -1, ""SxitProfitHoldATR"": 0.0, ""SxitRR"": 1.6, ""SxitSleeveMask"": 1, ""SxitTPATR"": 0.0, ""SxitTradeEndHour"": -1}",ml\scaexit2\configs\hx_is_HX0061_20260903215909_8dc5e2.yaml,hx_is_HX0061_20260903215909_8dc5e2_deals.csv,2026-09-03T21:59:09+00:00,2026-09-03T22:02:09+00:00,179.762,
ec4cb23a497e4b2081f98667e5c92c7e,hx_oos_HX0060_20260903215057_1f2eaa,HX0060,H04_extend_x_rr,-,OOS,BT1,OK,ADOPT_CANDIDATE,BOTH_WINDOWS_IMPROVED,"IS net=463284 (+10.86%), PF=2.3905 (+6.05%), DD=3.7299% (-0.0643pt), trades=301 (+0.00%), SCA枠=239887 (+23.34%); OOS net=56900 (+20.19%), PF=1.3698 (+4.75%), DD=1.8613% (-0.0063pt), trades=329 (+0.00%), SCA枠=50737 (+23.22%)",0,56900.0,1.3698,1.8613,329,1.201943,1.047488,-0.0063,1.0,47340.0,1.3077,1.8676,329,2026-09-03T20:39:38+00:00,6163,41177,6163,50737,1.232168,0,6C61494FDDF6194C8F2D73FC1F534F4F7BDF32D25B2175F74AF093D60DE93E65,280,0,0,24,13,11,0.5458,0.8583,3,2,"{""PprotArmPeakATR"": 0.5, ""PprotMode"": 14, ""PprotSleeveMask"": 2, ""PprotTPExtendATR"": 1.0, ""SxitForceCloseHour"": -1, ""SxitHoldUntilHour"": -1, ""SxitLossCloseHour"": -1, ""SxitMode"": 4, ""SxitProfitCloseHour"": -1, ""SxitProfitHoldATR"": 0.0, ""SxitRR"": 1.6, ""SxitSleeveMask"": 1, ""SxitTPATR"": 0.0, ""SxitTradeEndHour"": -1}",ml\scaexit2\configs\hx_oos_HX0060_20260903215057_1f2eaa.yaml,hx_oos_HX0060_20260903215057_1f2eaa_deals.csv,2026-09-03T21:50:57+00:00,2026-09-03T22:03:33+00:00,755.412,
