proposal_id,description,IS_total,IS_n,IS_best_year,IS_best_val,IS_ex_best,IS_years_pos,IS_years,OOS_total,OOS_n,OOS_best_year,OOS_best_val,OOS_ex_best,OOS_years_pos,OOS_years,worst_ex
S4044,第4セッション金曜も取引,64875.0,20,2026,47719.0,17156.0,6,6,11965.0,29,2016,4865.0,7100.0,5,6,7100.0
S4047,第4逆行ブースト3.0倍,27472.0,15,2022,14848.0,12624.0,5,5,13709.0,26,2016,7220.0,6489.0,3,5,6489.0
S4028,第4レンジ12-13時・強制決済22h,17367.0,15,2022,12233.0,5134.0,4,5,9789.0,26,2016,4292.0,5497.0,4,5,5134.0
S4033,第4セッションRR2.1,24163.0,15,2022,9899.0,14264.0,5,5,8927.0,26,2019,4452.0,4475.0,4,5,4475.0
S4022,第4レンジ12-13時・締切17h,22133.0,11,2022,9899.0,12234.0,4,5,8798.0,21,2016,4865.0,3933.0,4,5,3933.0
S4032,第4セッションRR1.9,22683.0,15,2022,9899.0,12784.0,5,5,7684.0,26,2016,4088.0,3596.0,4,5,3596.0
S4034,第4セッションRR2.4,26355.0,15,2022,9899.0,16456.0,5,5,8525.0,26,2019,5086.0,3439.0,4,5,3439.0
S4001,第4レンジ12-13時・EA既定の中心点（有効化）,21514.0,15,2022,9899.0,11615.0,5,5,8174.0,26,2016,4865.0,3309.0,4,5,3309.0
S4023,第4レンジ12-13時・締切19h,21514.0,15,2022,9899.0,11615.0,5,5,8174.0,26,2016,4865.0,3309.0,4,5,3309.0
S4024,第4レンジ12-13時・締切21h,21514.0,15,2022,9899.0,11615.0,5,5,8174.0,26,2016,4865.0,3309.0,4,5,3309.0
S4025,第4レンジ12-13時・締切22h,21514.0,15,2022,9899.0,11615.0,5,5,7833.0,27,2016,4865.0,2968.0,4,5,2968.0
S4031,第4セッションRR1.5,31038.0,15,2022,13482.0,17556.0,5,5,5935.0,26,2016,4305.0,1630.0,3,5,1630.0
S4041,第4バッファ0.02ATR,26984.0,14,2022,9899.0,17085.0,4,5,6197.0,26,2016,4865.0,1332.0,4,5,1332.0
S4027,第4レンジ12-13時・強制決済21h,6942.0,15,2022,4936.0,2006.0,3,5,5514.0,26,2016,4372.0,1142.0,4,5,1142.0
S4043,第4バッファ0.1ATR,23477.0,11,2022,9899.0,13578.0,4,5,5733.0,23,2016,4865.0,868.0,3,5,868.0
S4045,第4セッション逆行ブーストなし,15552.0,15,2024,5461.0,10091.0,5,5,2642.0,26,2016,2511.0,131.0,4,5,131.0
S4046,第4逆行ブースト1.5倍,15552.0,15,2024,5461.0,10091.0,5,5,2642.0,26,2016,2511.0,131.0,4,5,131.0
S4030,第4セッションRR1.3,27224.0,15,2022,11799.0,15425.0,5,5,3679.0,26,2016,3738.0,-59.0,3,5,-59.0
S4026,第4レンジ12-13時・強制決済20h・締切<決済を守るため締切19hへ調整,7234.0,15,2024,3591.0,3643.0,4,5,3601.0,26,2019,3917.0,-316.0,3,5,-316.0
S4039,第4レンジ幅0.5〜1.0ATR,27025.0,5,2025,9933.0,17092.0,4,4,3832.0,11,2016,4709.0,-877.0,2,4,-877.0
S4042,第4バッファ0.05ATR,26360.0,14,2022,9899.0,16461.0,4,5,3416.0,25,2016,4865.0,-1449.0,3,5,-1449.0
S4021,第4レンジ12-13時・締切15h,7755.0,3,2024,4086.0,3669.0,2,2,-1439.0,10,2018,669.0,-2108.0,2,4,-2108.0
S4002,第4レンジ11-12時（締切20h・決済23h）,10898.0,38,2026,13257.0,-2359.0,2,6,-5505.0,36,2016,2126.0,-7631.0,2,6,-7631.0
S4040,第4レンジ幅0.5〜1.4ATR,27025.0,5,2025,9933.0,17092.0,4,4,-3160.0,12,2016,4709.0,-7869.0,2,4,-7869.0
S4029,第4レンジ12-13時・強制決済24h,-280.0,15,2025,9593.0,-9873.0,3,5,8682.0,26,2016,3679.0,5003.0,4,5,-9873.0
S4037,第4レンジ幅0.3〜0.8ATR,43616.0,66,2026,25021.0,18595.0,4,6,-7608.0,72,2016,4865.0,-12473.0,4,6,-12473.0
S4020,第4レンジ20-22時（締切23h・決済24h・窓終了後の時間確保のため締切/決済を調整）,98266.0,27,2025,54340.0,43926.0,4,6,-8807.0,31,2017,6029.0,-14836.0,2,6,-14836.0
S4010,第4レンジ17-18時（締切20h・決済23h）,70330.0,110,2026,48820.0,21510.0,3,6,-6427.0,105,2019,8682.0,-15109.0,2,6,-15109.0
S4011,第4レンジ17-19時（締切20h・決済23h）,13409.0,95,2026,15581.0,-2172.0,2,6,-12888.0,104,2021,3105.0,-15993.0,3,6,-15993.0
S4008,第4レンジ16-18時（締切20h・決済23h）,14659.0,226,2026,16011.0,-1352.0,3,6,-13716.0,189,2019,3188.0,-16904.0,1,6,-16904.0
S4006,第4レンジ15-18時（締切20h・決済23h）,2656.0,229,2025,20181.0,-17525.0,4,6,-530.0,229,2020,3941.0,-4471.0,2,6,-17525.0
S4018,第4レンジ19-22時（締切23h・決済24h・窓終了後の時間確保のため締切/決済を調整）,75329.0,44,2026,44632.0,30697.0,5,6,-15735.0,45,2017,3613.0,-19348.0,2,6,-19348.0
S4038,第4レンジ幅0.3〜1.4ATR,52694.0,67,2026,25021.0,27673.0,5,6,-15400.0,74,2016,4865.0,-20265.0,4,6,-20265.0
S4009,第4レンジ16-19時（締切20h・決済23h）,-7052.0,127,2026,16187.0,-23239.0,1,6,-9995.0,118,2019,2655.0,-12650.0,3,6,-23239.0
S4005,第4レンジ15-17時（締切20h・決済23h）,-18441.0,308,2026,4634.0,-23075.0,2,6,-23035.0,285,2018,5105.0,-28140.0,2,6,-28140.0
S4003,第4レンジ11-13時（締切20h・決済23h）,66517.0,74,2026,51459.0,15058.0,5,6,-22328.0,98,2016,7069.0,-29397.0,1,6,-29397.0
S4019,第4レンジ20-21時（締切22h・決済23h・窓終了後の時間確保のため締切/決済を調整）,-31541.0,9,2024,6380.0,-37921.0,1,5,1420.0,14,2018,3922.0,-2502.0,2,4,-37921.0
S4035,第4レンジ幅0.2〜0.8ATR,101479.0,319,2026,41643.0,59836.0,5,6,-28795.0,279,2016,11572.0,-40367.0,1,6,-40367.0
S4036,第4レンジ幅0.2〜1.0ATR,110557.0,320,2026,41643.0,68914.0,5,6,-29595.0,280,2016,11572.0,-41167.0,1,6,-41167.0
S4007,第4レンジ16-17時（締切20h・決済23h）,-45017.0,192,2021,309.0,-45326.0,1,6,-17542.0,149,2021,1785.0,-19327.0,3,6,-45326.0
S4004,第4レンジ15-16時（締切20h・決済23h）,-49764.0,202,2025,37398.0,-87162.0,2,6,10733.0,184,2020,15942.0,-5209.0,3,6,-87162.0
