label,mult,window,status,net,pf,dd_pct,monthly_pct,trades,deals,elapsed,run_id
SCA2ONLY,1,IS,OK,610318.0,2.1744,5.4575,2.0344,463,m1_is_SCA2ONLY_x1_20260906141445_4ca1_deals.csv,264.2,m1_is_SCA2ONLY_x1_20260906141445_4ca1
SCA2ONLY,1,OOS,OK,118935.0,1.4964,2.9946,0.4325,470,m1_oos_SCA2ONLY_x1_20260906141910_2fa2_deals.csv,153.9,m1_oos_SCA2ONLY_x1_20260906141910_2fa2
SCA2ONLY,1,FULL,OK,729253.0,1.9605,4.5951,1.2683,933,m1_full_SCA2ONLY_x1_20260906142143_2e14_deals.csv,479.7,m1_full_SCA2ONLY_x1_20260906142143_2e14
