mult,window,status,net,pf,dd_pct,monthly_pct,trades,deals,elapsed,run_id,pb_uj_net,pb_uj_n,pb_gj_net,pb_gj_n,rsi_uj_net,rsi_uj_n,rsi_eu_net,rsi_eu_n,rsi_gu_net,rsi_gu_n,pair_net,pair_n,carry_net,carry_n,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n
2,FULL,OK,823045.0,1.3204,9.7961,1.4314,2969,fxm_full_x2_20260907154326_a492_deals.csv,645.1,fxm_full_x2_20260907154326_a492,51540,77,108931,28,30797,195,23531,544,59443,127,30111,86,130087,13,32678,594,231984,1305
3,FULL,OK,1267215.0,1.3272,13.9776,2.2039,2969,fxm_full_x3_20260907155411_3afe_deals.csv,655.6,fxm_full_x3_20260907155411_3afe,86058,77,168384,28,46135,195,35387,544,89155,127,45211,86,205004,13,49016,594,347976,1305
4,FULL,OK,1712852.0,1.3311,17.102,2.9789,2969,fxm_full_x4_20260907160507_6cfa_deals.csv,645.3,fxm_full_x4_20260907160507_6cfa,118590,77,232256,28,61572,195,47114,544,118876,127,60226,86,279202,13,65355,594,463968,1305
2,OOS,OK,253588.0,1.234,9.7961,0.9221,1375,fxm_oos_x2_20260907161552_9d86_deals.csv,264.6,fxm_oos_x2_20260907161552_9d86,-2081,18,49686,15,15862,87,7494,269,33980,62,3919,30,-12660,7,-4448,266,84438,621
3,OOS,OK,379833.0,1.2323,13.9776,1.3812,1375,fxm_oos_x3_20260907162017_9cb6_deals.csv,264.5,fxm_oos_x3_20260907162017_9cb6,-7682,18,73647,15,23751,87,11293,269,50960,62,5889,30,-19735,7,-6673,266,126657,621
2,IS,OK,565168.0,1.3758,15.8536,1.8839,1595,fxm_is_x2_20260907162441_2ba0_deals.csv,279.5,fxm_is_x2_20260907162441_2ba0,53621,59,59245,13,14935,108,16037,275,26573,65,26192,56,59950,7,37126,328,147546,684
3,IS,OK,880533.0,1.3885,24.3786,2.9351,1595,fxm_is_x3_20260907162921_c496_deals.csv,279.5,fxm_is_x3_20260907162921_c496,93740,59,94737,13,22384,108,24094,275,39860,65,39322,56,94499,7,55689,328,221319,684
5,FULL,OK,2152154.0,1.3321,20.1839,3.7429,2969,fxm_full_x5_20260907163400_1d33_deals.csv,645.3,fxm_full_x5_20260907163400_1d33,150882,77,288830,28,77155,195,58961,544,148595,127,75319,86,354119,13,81694,594,579960,1305
6,FULL,OK,2598040.0,1.3339,22.7024,4.5183,2969,fxm_full_x6_20260907164446_6c54_deals.csv,655.5,fxm_full_x6_20260907164446_6c54,185868,77,350601,28,92466,195,70688,544,178309,127,90360,86,428317,13,98033,594,695954,1305
