mult,window,status,net,pf,dd_pct,monthly_pct,trades,deals,elapsed,run_id,pb_uj_net,pb_uj_n,pb_gj_net,pb_gj_n,rsi_uj_net,rsi_uj_n,rsi_eu_net,rsi_eu_n,rsi_gu_net,rsi_gu_n,pair_net,pair_n,carry_net,carry_n,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n
1,IS,OK,257817.0,1.3476,7.314,0.8594,1595,fxm_is_x1_20260907150207_2245_deals.csv,320.3,fxm_is_x1_20260907150207_2245,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684
1,OOS,OK,119537.0,1.2225,5.2473,0.4347,1375,fxm_oos_x1_20260907150728_397b_deals.csv,274.9,fxm_oos_x1_20260907150728_397b,-1812,18,22738,15,7870,87,3805,269,16984,62,1996,30,-5324,7,-2224,266,42219,621
1,FULL,OK,379084.0,1.2982,5.5891,0.6593,2969,fxm_full_x1_20260907151202_eb56_deals.csv,645.7,fxm_full_x1_20260907151202_eb56,20455,77,45029,28,15310,195,11835,544,29715,127,15093,86,56128,13,16339,594,115992,1305
4,IS,OK,1189544.0,1.3923,33.0104,3.9651,1595,fxm_is_x4_20260907152248_2e9e_deals.csv,284.8,fxm_is_x4_20260907152248_2e9e,125644,59,132649,13,29863,108,32115,275,53150,65,52399,56,128687,7,74252,328,295092,684
8,IS,OK,2417449.0,1.3967,67.3188,8.0582,1595,fxm_is_x8_20260907152733_beb7_deals.csv,284.6,fxm_is_x8_20260907152733_beb7,261402,59,266878,13,59783,108,64250,275,106293,65,104803,56,266159,7,148504,328,590184,684
4,OOS,OK,513901.0,1.2356,17.102,1.8687,1375,fxm_oos_x4_20260907153217_e4ac_deals.csv,264.6,fxm_oos_x4_20260907153217_e4ac,-7054,18,99607,15,31709,87,14999,269,67947,62,7827,30,-27007,7,-8897,266,168876,621
