mult,window,status,net,pf,dd_pct,monthly_pct,trades,deals,elapsed,run_id,pb_uj_net,pb_uj_n,pb_gj_net,pb_gj_n,rsi_uj_net,rsi_uj_n,rsi_eu_net,rsi_eu_n,rsi_gu_net,rsi_gu_n,pair_net,pair_n,carry_net,carry_n,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n
1,IS,OK,2796518.0,2.5042,33.2718,9.3217,1595,fxm_is_x1_20260907142752_b295_deals.csv,319.8,fxm_is_x1_20260907142752_b295,386036,59,644237,13,7440,108,8030,275,13286,65,13097,56,178316,7,18563,328,73773,684
1,OOS,OK,519300.0,1.5857,20.8649,1.8884,1375,fxm_oos_x1_20260907143311_246b_deals.csv,300.5,fxm_oos_x1_20260907143311_246b,10625,18,219218,15,7870,87,3805,269,16984,62,1996,30,-45648,7,-2224,266,42219,621
1,FULL,OK,6273803.0,2.6054,21.3591,10.911,2969,fxm_full_x1_20260907143812_ab7d_deals.csv,701.4,fxm_full_x1_20260907143812_ab7d,821884,77,1562639,28,15310,195,11835,544,29715,127,15093,86,706721,13,16339,594,115992,1305
4,IS,OK,44730018.0,3.053,98.6272,149.1001,1580,fxm_is_x4_20260907144953_9600_deals.csv,305.3,fxm_is_x4_20260907144953_9600,2284610,59,13923100,13,29863,108,32115,275,53150,65,46401,54,-1559725,7,74252,328,293052,671
8,IS,OK,-469340.0,0.068,94.391,-1.5645,24,fxm_is_x8_20260907145459_3a2c_deals.csv,69.7,fxm_is_x8_20260907145459_3a2c,,,,,,,-1823,5,,,,,0,1,-9200,7,-26680,11
4,OOS,OK,2178582.0,1.5307,72.3991,7.9221,1375,fxm_oos_x4_20260907145608_f483_deals.csv,290.1,fxm_oos_x4_20260907145608_f483,254366,18,1039040,15,31709,87,14999,269,67947,62,7827,30,-80523,7,-8897,266,168876,621
