key,value
net_profit,257126.00
profit_factor,1.3496
max_dd_pct,6.7426
equity_dd_pct,7.5001
equity_dd_abs,57107.00
total_trades,1573
win_trades,674
loss_trades,899
initial_deposit,500000.00
final_balance,757126.00
