key,value
net_profit,253883.00
profit_factor,1.3422
max_dd_pct,7.3544
equity_dd_pct,7.5233
equity_dd_abs,57107.00
total_trades,1591
win_trades,677
loss_trades,914
initial_deposit,500000.00
final_balance,753883.00
