key,value
net_profit,244644.00
profit_factor,1.3406
max_dd_pct,7.3946
equity_dd_pct,7.5676
equity_dd_abs,57206.00
total_trades,1538
win_trades,657
loss_trades,881
initial_deposit,500000.00
final_balance,744644.00
