key,value
net_profit,101326.00
profit_factor,1.1944
max_dd_pct,6.0381
equity_dd_pct,8.3805
equity_dd_abs,46087.00
total_trades,1315
win_trades,527
loss_trades,788
initial_deposit,500000.00
final_balance,601326.00
