case,net,dd_pct
baseline_round4,1137149.0,2.3744765848823643
pb_hybrid_off,1132293.0,2.379333271933355
pb_hybrid_on,828704.0,2.2553040770579194
F14_actual_matched_delta,833560.0,2.250447390006929
