key,value
net_profit,252940.00
profit_factor,1.3402
max_dd_pct,7.2518
equity_dd_pct,7.4991
equity_dd_abs,57107.00
total_trades,1597
win_trades,680
loss_trades,917
initial_deposit,500000.00
final_balance,752940.00
