key,value
net_profit,253427.00
profit_factor,1.3407
max_dd_pct,7.4342
equity_dd_pct,7.5285
equity_dd_abs,57107.00
total_trades,1595
win_trades,679
loss_trades,916
initial_deposit,500000.00
final_balance,753427.00
