key,value
net_profit,116585.00
profit_factor,1.2157
max_dd_pct,5.2805
equity_dd_pct,7.2048
equity_dd_abs,39943.00
total_trades,1375
win_trades,557
loss_trades,818
initial_deposit,500000.00
final_balance,616585.00
