proposal_id,family,window,status,net,pf,dd_pct,monthly_pct,trades,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n,uj2_net,uj2_n,gj2_net,gj2_n,sca1_net,sca1_n,sca2_net,sca2_n,pb_net,pb_n,description,parameter_json,elapsed,run_id,deals
X051,G1,OOS,OK,9186.0,1.0174,10.877,0.0334,1245,-2224,266,42219,621,,,-51563,264,,,20754,94,,,SCA GBPJPY 第2セッション: レンジ 17-18時,"{""Sca6BoostMult"": 6.0, ""Sca6Buffer"": 0.0, ""Sca6Enable"": true, ""Sca6ForceClose"": 23, ""Sca6Lot"": 0.01, ""Sca6MaxRange"": 1.0, ""Sca6MinRange"": 0.3, ""Sca6RR"": 2.0, ""Sca6RangeEnd"": 18, ""Sca6RangeStart"": 17, ""Sca6RevBoost"": true, ""Sca6SkipFriday"": false, ""Sca6TradeEnd"": 20}",94.0,fx_oos_X051_20260907113538_6fa1,fx_oos_X051_20260907113538_6fa1_deals.csv
X052,G1,OOS,OK,30017.0,1.0621,9.6103,0.1092,1179,-2224,266,42219,621,,,-30732,198,,,20754,94,,,SCA GBPJPY 第2セッション: レンジ 17-19時,"{""Sca6BoostMult"": 6.0, ""Sca6Buffer"": 0.0, ""Sca6Enable"": true, ""Sca6ForceClose"": 23, ""Sca6Lot"": 0.01, ""Sca6MaxRange"": 1.0, ""Sca6MinRange"": 0.3, ""Sca6RR"": 2.0, ""Sca6RangeEnd"": 19, ""Sca6RangeStart"": 17, ""Sca6RevBoost"": true, ""Sca6SkipFriday"": false, ""Sca6TradeEnd"": 20}",94.1,fx_oos_X052_20260907113712_42a5,fx_oos_X052_20260907113712_42a5_deals.csv
X053,G2,OOS,OK,16432.0,1.0281,9.3559,0.0598,1324,-2224,266,42219,621,,,-44317,343,,,20754,94,,,SCA GBPJPY 第2セッション: 締切 17時,"{""Sca6BoostMult"": 6.0, ""Sca6Buffer"": 0.0, ""Sca6Enable"": true, ""Sca6ForceClose"": 23, ""Sca6Lot"": 0.01, ""Sca6MaxRange"": 1.0, ""Sca6MinRange"": 0.3, ""Sca6RR"": 2.0, ""Sca6RangeEnd"": 15, ""Sca6RangeStart"": 13, ""Sca6RevBoost"": true, ""Sca6SkipFriday"": false, ""Sca6TradeEnd"": 17}",94.1,fx_oos_X053_20260907113847_5f53,fx_oos_X053_20260907113847_5f53_deals.csv
X054,G2,OOS,OK,-20079.0,0.9693,13.8932,-0.073,1423,-2224,266,42219,621,,,-80828,442,,,20754,94,,,SCA GBPJPY 第2セッション: 締切 18時,"{""Sca6BoostMult"": 6.0, ""Sca6Buffer"": 0.0, ""Sca6Enable"": true, ""Sca6ForceClose"": 23, ""Sca6Lot"": 0.01, ""Sca6MaxRange"": 1.0, ""Sca6MinRange"": 0.3, ""Sca6RR"": 2.0, ""Sca6RangeEnd"": 15, ""Sca6RangeStart"": 13, ""Sca6RevBoost"": true, ""Sca6SkipFriday"": false, ""Sca6TradeEnd"": 18}",99.1,fx_oos_X054_20260907114021_5514,fx_oos_X054_20260907114021_5514_deals.csv
X055,G2,OOS,OK,2289.0,1.0033,9.398,0.0083,1485,-2224,266,42219,621,,,-58460,504,,,20754,94,,,SCA GBPJPY 第2セッション: 締切 19時,"{""Sca6BoostMult"": 6.0, ""Sca6Buffer"": 0.0, ""Sca6Enable"": true, ""Sca6ForceClose"": 23, ""Sca6Lot"": 0.01, ""Sca6MaxRange"": 1.0, ""Sca6MinRange"": 0.3, ""Sca6RR"": 2.0, ""Sca6RangeEnd"": 15, ""Sca6RangeStart"": 13, ""Sca6RevBoost"": true, ""Sca6SkipFriday"": false, ""Sca6TradeEnd"": 19}",98.9,fx_oos_X055_20260907114200_eb5f,fx_oos_X055_20260907114200_eb5f_deals.csv
X056,G2,OOS,OK,-1307.0,0.9982,10.124,-0.0048,1534,-2224,266,42219,621,,,-62056,553,,,20754,94,,,SCA GBPJPY 第2セッション: 締切 21時,"{""Sca6BoostMult"": 6.0, ""Sca6Buffer"": 0.0, ""Sca6Enable"": true, ""Sca6ForceClose"": 23, ""Sca6Lot"": 0.01, ""Sca6MaxRange"": 1.0, ""Sca6MinRange"": 0.3, ""Sca6RR"": 2.0, ""Sca6RangeEnd"": 15, ""Sca6RangeStart"": 13, ""Sca6RevBoost"": true, ""Sca6SkipFriday"": false, ""Sca6TradeEnd"": 21}",98.9,fx_oos_X056_20260907114339_9de6,fx_oos_X056_20260907114339_9de6_deals.csv
X057,G2,OOS,OK,74.0,1.0001,10.2754,0.0003,1547,-2224,266,42219,621,,,-60675,566,,,20754,94,,,SCA GBPJPY 第2セッション: 締切 22時,"{""Sca6BoostMult"": 6.0, ""Sca6Buffer"": 0.0, ""Sca6Enable"": true, ""Sca6ForceClose"": 23, ""Sca6Lot"": 0.01, ""Sca6MaxRange"": 1.0, ""Sca6MinRange"": 0.3, ""Sca6RR"": 2.0, ""Sca6RangeEnd"": 15, ""Sca6RangeStart"": 13, ""Sca6RevBoost"": true, ""Sca6SkipFriday"": false, ""Sca6TradeEnd"": 22}",98.9,fx_oos_X057_20260907114518_0240,fx_oos_X057_20260907114518_0240_deals.csv
X058,G3,OOS,OK,12015.0,1.0174,7.6619,0.0437,1514,-2224,266,42219,621,,,-48734,533,,,20754,94,,,SCA GBPJPY 第2セッション: RR 1.3,"{""Sca6BoostMult"": 6.0, ""Sca6Buffer"": 0.0, ""Sca6Enable"": true, ""Sca6ForceClose"": 23, ""Sca6Lot"": 0.01, ""Sca6MaxRange"": 1.0, ""Sca6MinRange"": 0.3, ""Sca6RR"": 1.3, ""Sca6RangeEnd"": 15, ""Sca6RangeStart"": 13, ""Sca6RevBoost"": true, ""Sca6SkipFriday"": false, ""Sca6TradeEnd"": 20}",98.9,fx_oos_X058_20260907114656_c313,fx_oos_X058_20260907114656_c313_deals.csv
X059,G3,OOS,OK,6517.0,1.0094,8.8809,0.0237,1514,-2224,266,42219,621,,,-54232,533,,,20754,94,,,SCA GBPJPY 第2セッション: RR 1.5,"{""Sca6BoostMult"": 6.0, ""Sca6Buffer"": 0.0, ""Sca6Enable"": true, ""Sca6ForceClose"": 23, ""Sca6Lot"": 0.01, ""Sca6MaxRange"": 1.0, ""Sca6MinRange"": 0.3, ""Sca6RR"": 1.5, ""Sca6RangeEnd"": 15, ""Sca6RangeStart"": 13, ""Sca6RevBoost"": true, ""Sca6SkipFriday"": false, ""Sca6TradeEnd"": 20}",99.0,fx_oos_X059_20260907114835_5456,fx_oos_X059_20260907114835_5456_deals.csv
X060,G3,OOS,OK,1739.0,1.0025,8.6679,0.0063,1514,-2224,266,42219,621,,,-59010,533,,,20754,94,,,SCA GBPJPY 第2セッション: RR 1.7,"{""Sca6BoostMult"": 6.0, ""Sca6Buffer"": 0.0, ""Sca6Enable"": true, ""Sca6ForceClose"": 23, ""Sca6Lot"": 0.01, ""Sca6MaxRange"": 1.0, ""Sca6MinRange"": 0.3, ""Sca6RR"": 1.7, ""Sca6RangeEnd"": 15, ""Sca6RangeStart"": 13, ""Sca6RevBoost"": true, ""Sca6SkipFriday"": false, ""Sca6TradeEnd"": 20}",98.9,fx_oos_X060_20260907115014_5e3e,fx_oos_X060_20260907115014_5e3e_deals.csv
