time,profit
1466625600,0.00
1466690398,1086.00
1466744400,0.00
1466747998,1053.00
1466755200,0.00
1466769598,-514.00
1467871200,0.00
1467874800,-113.00
1467874800,0.00
1467889198,-252.00
1468332000,0.00
1468346398,-262.00
1468346400,0.00
1468432798,-260.00
1468602000,0.00
1468911600,18.00
1468911600,0.00
1468925998,-265.00
1469113200,0.00
1469116798,-265.00
1469462400,0.00
1469500198,-498.00
1469714400,0.00
1469779200,0.00
1469790898,-500.00
1469793600,0.00
1469808898,1100.00
1469818797,1070.00
1470787200,0.00
1470801598,-257.00
1470801600,0.00
1470949200,-23.00
1470949200,0.00
1471017598,-256.00
1471017600,0.00
1471021198,-257.00
1471291200,0.00
1471352398,1070.00
1471896000,0.00
1472054398,1093.00
1472529600,0.00
1472644798,-504.00
1472832000,0.00
1473191998,1093.00
1473328800,0.00
1473436799,-258.00
1473926400,0.00
1473940798,-500.00
1474041600,0.00
1474056000,0.00
1474257597,1120.00
1474257600,0.00
1474283698,-498.00
1474304398,-254.00
1474401600,0.00
1474442998,-530.00
1474444800,0.00
1474453798,-500.00
1474473600,0.00
1474563600,0.00
1474574398,-252.00
1474581600,0.00
1474604998,-619.00
1474617600,0.00
1474639198,-251.00
1474995600,0.00
1474999198,-251.00
1474999200,0.00
1475002800,-111.00
1475002800,0.00
1475060398,-260.00
1475138698,-679.00
1475179200,0.00
1475216098,-530.00
1475254800,0.00
1475258398,-254.00
1475258400,0.00
1475517598,-262.00
1475539200,0.00
1475602198,1100.00
1475643600,0.00
1475690398,-257.00
1476950400,0.00
1477411198,1106.00
1477958400,0.00
1478084398,1092.00
1478764800,0.00
1478890798,1101.00
1480075200,0.00
1480348798,-528.00
1480510800,0.00
1480517998,-262.00
1480525200,0.00
1480528800,-122.00
1480528800,0.00
1480532398,-262.00
1480579200,0.00
1480611600,-196.00
1480611600,0.00
1480618798,-262.00
1480935600,0.00
1480967998,1100.00
1481248800,0.00
1481572798,-261.00
1481594400,0.00
1481655597,-262.00
1482350400,0.00
1482508798,1136.00
1482930000,0.00
1482984000,-34.00
1482984000,0.00
1483063198,1092.00
1483466400,0.00
1483469998,-262.00
1483549200,0.00
1483606798,1075.00
1483704000,0.00
1483934397,1149.00
1484164800,0.00
1484233198,1075.00
1484740800,0.00
1484777698,-500.00
1485144000,0.00
1485221398,1070.00
1485230400,0.00
1485251998,-500.00
1485432000,0.00
1485446398,-567.00
1485770400,0.00
1485828000,-101.00
1485828000,0.00
1485892800,0.00
1486033198,1155.00
1486036798,1231.00
1486126800,0.00
1486130400,-107.00
1486130400,0.00
1486137598,-284.00
1486400400,0.00
1486414800,-179.00
1486414800,0.00
1486447198,-293.00
1486483200,0.00
1486497598,1248.00
1487952000,0.00
1487955598,-284.00
1487955600,0.00
1487966397,-284.00
1488232800,0.00
1488304798,-282.00
1488326400,0.00
1488571200,0.00
1488578398,-278.00
1488579297,-500.00
1488873600,0.00
1488916800,0.00
1488920400,-109.00
1488920400,0.00
1488988800,0.00
1489075198,-280.00
1489075200,0.00
1489183198,1196.00
1489492798,1232.00
1489608898,-486.00
1489636800,0.00
1490063398,1010.00
1490140800,0.00
1490282097,1011.00
1490356800,0.00
1490630398,1213.00
1490774400,0.00
1490821200,0.00
1490903998,1205.00
1491245997,1171.00
1491811200,0.00
1491998398,1209.00
1492106400,0.00
1492426798,-273.00
1492527600,0.00
1492995597,1109.00
1494000000,0.00
1494270000,0.00
1494323998,-293.00
1494326698,1104.00
1494342000,0.00
1494604798,-275.00
1494622800,0.00
1494932398,1176.00
1495137600,0.00
1495141198,-500.00
1495152000,0.00
1495412097,-498.00
1496142000,0.00
1496149198,-277.00
1496163600,0.00
1496221198,-287.00
1496361600,0.00
