time,profit,magic,entry,position_id,type,volume,price,sl
1467720000,0.00,20260622,0,2,1,0.03,101.69900000,102.21600000
1467782098,3016.00,20260622,1,2,0,0.03,100.66400000,102.21600000
1470384000,0.00,20260640,0,4,0,0.01,1362.77000000,1352.72000000
1470412798,-1011.00,20260640,1,4,1,0.01,1352.72000000,1352.72000000
1470758400,0.00,20260627,0,6,1,0.01,132.51300000,133.58000000
1472443197,-1884.00,20260627,1,6,0,0.01,133.58000000,133.58000000
1476907200,0.00,20260627,0,8,1,0.01,126.75200000,127.79300000
1477382397,-1286.00,20260627,1,8,0,0.01,127.79300000,127.79300000
