proposal_id,family,window,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_n,sca1_net,sca1_n,sca2_net,sca2_n,pb2_net,pb2_n,sca3_net,sca3_n,description,parameter_json,elapsed,run_id
S3030,T4_range_filter,IS,OK,660501.0,1.6654,7.6597,2.2017,820,196940,63,179120,242,123237,91,,,161204,424,第3レンジ幅0.3〜1.4ATR,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.4, ""Sca3MinRange"": 0.3, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",93.7,s3_is_S3030_20260905183730_ce3a
S3031,T4_range_filter,IS,OK,611314.0,2.1874,3.296,2.0377,448,196940,63,179120,242,123237,91,,,112017,52,第3レンジ幅0.5〜0.8ATR,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 0.8, ""Sca3MinRange"": 0.5, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",88.7,s3_is_S3031_20260905183904_4eba
S3032,T4_range_filter,IS,OK,621543.0,2.1902,3.2622,2.0718,453,196940,63,179120,242,123237,91,,,122246,57,第3レンジ幅0.5〜1.0ATR,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.5, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",88.8,s3_is_S3032_20260905184033_9d73
S3033,T4_range_filter,IS,OK,654211.0,2.2527,3.2603,2.1807,455,196940,63,179120,242,123237,91,,,154914,59,第3レンジ幅0.5〜1.4ATR,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.4, ""Sca3MinRange"": 0.5, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",88.7,s3_is_S3033_20260905184201_0851
S3034,T5_rr,IS,OK,620863.0,1.9309,5.1276,2.0695,543,196940,63,179120,242,123237,91,,,121566,147,第3セッションRR1.3,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.3, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",93.7,s3_is_S3034_20260905184330_92e6
S3035,T5_rr,IS,OK,589287.0,1.8774,5.028,1.9643,543,196940,63,179120,242,123237,91,,,89990,147,第3セッションRR1.5,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.5, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",93.8,s3_is_S3035_20260905184504_2f64
S3036,T5_rr,IS,OK,605217.0,1.8961,4.7776,2.0174,543,196940,63,179120,242,123237,91,,,105920,147,第3セッションRR1.9,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.9, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",94.1,s3_is_S3036_20260905184638_aded
S3037,T5_rr,IS,OK,568372.0,1.8434,4.766,1.8946,542,196940,63,179120,242,123237,91,,,69075,146,第3セッションRR2.1,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 2.1, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",135.8,s3_is_S3037_20260905184812_bff2
S3038,T5_rr,IS,OK,554675.0,1.823,4.7492,1.8489,542,196940,63,179120,242,123237,91,,,55378,146,第3セッションRR2.4,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 2.4, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",93.7,s3_is_S3038_20260905185028_9e7f
S3039,T6_buffer,IS,OK,565357.0,1.8338,5.0307,1.8845,541,196940,63,179120,242,123237,91,,,66060,145,第3バッファ0.02ATR,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.02, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",93.6,s3_is_S3039_20260905185201_49a4
