proposal_id,family,description,parameter_json
S3001,T1_window,第3レンジ9-11時・EA既定の中心点（有効化）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}"
S3002,T1_window,第3レンジ7-8時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 8, ""Sca3RangeStart"": 7, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}"
S3003,T1_window,第3レンジ7-9時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 9, ""Sca3RangeStart"": 7, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}"
S3004,T1_window,第3レンジ7-10時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 10, ""Sca3RangeStart"": 7, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}"
S3005,T1_window,第3レンジ8-9時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 9, ""Sca3RangeStart"": 8, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}"
S3006,T1_window,第3レンジ8-10時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 10, ""Sca3RangeStart"": 8, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}"
S3007,T1_window,第3レンジ8-11時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 8, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}"
S3008,T1_window,第3レンジ9-10時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 10, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}"
S3009,T1_window,第3レンジ9-12時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 12, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}"
S3010,T1_window,第3レンジ10-11時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 10, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}"
