label,window,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_n,sca1_net,sca1_n,sca2_net,sca2_n,sca3_net,sca3_n,elapsed,run_id
FULL_BASE2,IS,OK,610318.0,2.1744,5.4575,2.0344,463,196940,63,179120,242,123237,91,,,269.0,cf3_is_FULL_BASE2_20260905202453_f9d9
FULL_S3017,IS,OK,677075.0,2.0522,5.3393,2.2569,553,196940,63,179120,242,123237,91,66757,90,274.1,cf3_is_FULL_S3017_20260905202922_e9ef
FULL_S3016,IS,OK,655107.0,2.1139,4.9126,2.1837,521,196940,63,179120,242,123237,91,44789,58,269.2,cf3_is_FULL_S3016_20260905203356_51e0
FULL_S3001,IS,OK,715944.0,1.9784,5.3818,2.3865,610,196940,63,179120,242,123237,91,105626,147,269.0,cf3_is_FULL_S3001_20260905203825_d6bc
FULL_BASE2,OOS,OK,118935.0,1.4964,2.9946,0.4325,470,20752,50,52540,245,20733,94,,,148.9,cf3_oos_FULL_BASE2_20260905204254_4b42
FULL_S3017,OOS,OK,135910.0,1.4827,3.5854,0.4942,564,20752,50,52540,245,20733,94,16975,94,153.9,cf3_oos_FULL_S3017_20260905204523_f9c4
FULL_S3016,OOS,OK,131835.0,1.4889,3.5208,0.4794,534,20752,50,52540,245,20733,94,12900,64,153.9,cf3_oos_FULL_S3016_20260905204757_57d8
FULL_S3001,OOS,OK,136148.0,1.4436,3.3123,0.4951,620,20752,50,52540,245,20733,94,17213,150,168.9,cf3_oos_FULL_S3001_20260905205031_f16d
