proposal_id,family,status,survive,strict,tradeoff,params,is_net,is_pf,is_dd_abs,is_dd_pct,is_trades,oos_net,oos_pf,oos_dd_abs,oos_dd_pct,oos_trades,full_net,full_pf,full_dd_abs,full_dd_pct,full_trades
F07-23,F07,OK,True,False,False,"{""lookback_completed_deals"": 90, ""risk_scale"": 0.5}",886646.0,1.770055380141922,35860.5,1.8833504894752322,2041.0,220344.5,1.3099388265213545,35961.0,2.2611107932342103,1917.0,1106990.5,1.5944101341622572,35961.0,2.2611107932342103,3958.0
F07-24,F07,OK,True,False,False,"{""lookback_completed_deals"": 120, ""risk_scale"": 0.5}",882719.0,1.75791079735617,35742.5,1.8844025717607176,2041.0,214583.5,1.2998056562280822,36681.5,2.3075713301648513,1917.0,1097302.5,1.5835424182734033,36681.5,2.3075713301648513,3958.0
F07-25,F07,OK,True,False,False,"{""lookback_completed_deals"": 8, ""risk_scale"": 0.75}",851722.0,1.73812957839001,36204.25,1.8886857398925114,2041.0,203719.5,1.2781289325724772,34828.5,2.2000731494238064,1917.0,1055441.5,1.5595132733393715,36204.25,2.2000731494238064,3958.0
F07-26,F07,OK,True,False,False,"{""lookback_completed_deals"": 12, ""risk_scale"": 0.75}",852035.25,1.7395587221787263,38051.25,1.9809017153628847,2041.0,202297.75,1.2754768727239798,31873.75,2.019088818370216,1917.0,1054333.0,1.5589006704822295,38051.25,2.019088818370216,3958.0
F07-27,F07,OK,True,False,False,"{""lookback_completed_deals"": 20, ""risk_scale"": 0.75}",842004.0,1.7301706917640693,37172.75,1.9732104923277198,2041.0,205027.0,1.2767558096724216,38016.25,2.4013680683819425,1917.0,1047031.0,1.5528195669101086,38016.25,2.4013680683819425,3958.0
F07-28,F07,OK,True,False,False,"{""lookback_completed_deals"": 30, ""risk_scale"": 0.75}",855324.5,1.7380611586054728,37087.25,1.919255652398012,2041.0,216845.0,1.2913834313424137,32581.5,2.0584824066455973,1917.0,1072169.5,1.563388974087416,37087.25,2.0584824066455973,3958.0
F07-29,F07,OK,True,False,False,"{""lookback_completed_deals"": 45, ""risk_scale"": 0.75}",885468.0,1.7562543771245067,36864.5,1.8918184861115726,2041.0,211031.25,1.279150265434575,34615.5,2.185407164704811,1917.0,1096499.25,1.5690668737071591,36864.5,2.185407164704811,3958.0
F07-30,F07,OK,True,False,False,"{""lookback_completed_deals"": 60, ""risk_scale"": 0.75}",890318.25,1.7438176075972607,37235.25,1.93388750589018,2041.0,216305.75,1.2868375180926277,36004.25,2.2699804048158256,1917.0,1106624.0,1.567190223074521,37235.25,2.2699804048158256,3958.0
F07-31,F07,OK,True,False,False,"{""lookback_completed_deals"": 90, ""risk_scale"": 0.75}",901024.75,1.738626913071083,36646.75,1.9174045928136207,2041.0,220899.75,1.289485245769517,36869.5,2.3221693021052854,1917.0,1121924.5,1.5657877832801232,36869.5,2.3221693021052854,3958.0
F07-32,F07,OK,True,False,False,"{""lookback_completed_deals"": 120, ""risk_scale"": 0.75}",906730.75,1.740028883571214,37167.25,1.9417170133796136,2041.0,217003.25,1.2831493433838972,37227.75,2.3453254768896192,1917.0,1123734.0,1.5642210713650027,37227.75,2.3453254768896192,3958.0
