proposal_id,family,status,survive,strict,tradeoff,params,is_net,is_pf,is_dd_abs,is_dd_pct,is_trades,oos_net,oos_pf,oos_dd_abs,oos_dd_pct,oos_trades,full_net,full_pf,full_dd_abs,full_dd_pct,full_trades
F14-01,F14,OK,True,False,True,"{""lookback_completed_deals"": 8, ""risk_scale"": 0.0}",916210.0,1.716191360615846,37838.0,1.9715054469363975,2041.0,238181.0,1.319280047828803,35820.0,2.25339849861506,1847.0,1154391.0,1.5699922232783203,37838.0,2.25339849861506,3888.0
F15-10,F15,OK,True,False,True,"{""lookback_completed_deals"": 12, ""risk_scale"": 0.25}",923131.0,1.7366086220850288,37838.0,1.9644215319040683,2041.0,222115.0,1.2820373633001605,37636.0,2.378176583845005,1917.0,1145246.0,1.5611873349339662,37838.0,2.378176583845005,3958.0
F15-18,F15,OK,True,False,True,"{""lookback_completed_deals"": 12, ""risk_scale"": 0.5}",920494.5,1.729296337730001,37838.0,1.967114082271201,2041.0,221831.5,1.27875668047686,37636.0,2.3770463071180967,1917.0,1142326.0,1.555077681409281,37838.0,2.3770463071180967,3958.0
F18-19,F18,OK,True,False,True,"{""lookback_completed_deals"": 20, ""risk_scale"": 0.5}",924237.5,1.7327265844410926,37838.0,1.9715054469363975,2041.0,216995.0,1.2747841723202389,37636.0,2.380399714372273,1917.0,1141232.5,1.5564110752488958,37838.0,2.380399714372273,3958.0
F15-19,F15,OK,True,False,True,"{""lookback_completed_deals"": 20, ""risk_scale"": 0.5}",919775.5,1.729339778464476,37838.0,1.967849649172214,2041.0,220503.5,1.275835044505059,37636.0,2.37795494989747,1917.0,1140279.0,1.5533963549324306,37838.0,2.37795494989747,3958.0
F15-26,F15,OK,True,False,True,"{""lookback_completed_deals"": 12, ""risk_scale"": 0.75}",918271.5,1.7224397554816022,37838.0,1.9693900839819596,2041.0,221320.0,1.2754060254089807,37636.0,2.3761484846576453,1917.0,1139591.5,1.5492845053233422,37838.0,2.3761484846576453,3958.0
F03-33,F03,OK,True,False,True,"{""lookback_completed_deals"": 8, ""risk_scale"": 0.9}",918057.1,1.7215596634565808,37787.59999999986,1.9675729219777252,2041.0,220085.2,1.273039149946288,36003.80000000005,2.2720957713503216,1917.0,1138142.3,1.5476101705149756,37787.59999999963,2.2720957713503216,3958.0
F03-39,F03,OK,True,False,True,"{""lookback_completed_deals"": 90, ""risk_scale"": 0.9}",918057.1,1.7215596634565808,37787.59999999986,1.9675729219777252,2041.0,220085.2,1.273039149946288,36003.80000000005,2.2720957713503216,1917.0,1138142.3,1.5476101705149756,37787.59999999963,2.2720957713503216,3958.0
F03-38,F03,OK,True,False,True,"{""lookback_completed_deals"": 60, ""risk_scale"": 0.9}",918057.1,1.7215596634565808,37787.59999999986,1.9675729219777252,2041.0,220085.2,1.273039149946288,36003.80000000005,2.2720957713503216,1917.0,1138142.3,1.5476101705149756,37787.59999999963,2.2720957713503216,3958.0
F03-37,F03,OK,True,False,True,"{""lookback_completed_deals"": 45, ""risk_scale"": 0.9}",918057.1,1.7215596634565808,37787.59999999986,1.9675729219777252,2041.0,220085.2,1.273039149946288,36003.80000000005,2.2720957713503216,1917.0,1138142.3,1.5476101705149756,37787.59999999963,2.2720957713503216,3958.0
F03-36,F03,OK,True,False,True,"{""lookback_completed_deals"": 30, ""risk_scale"": 0.9}",918057.1,1.7215596634565808,37787.59999999986,1.9675729219777252,2041.0,220085.2,1.273039149946288,36003.80000000005,2.2720957713503216,1917.0,1138142.3,1.5476101705149756,37787.59999999963,2.2720957713503216,3958.0
F03-35,F03,OK,True,False,True,"{""lookback_completed_deals"": 20, ""risk_scale"": 0.9}",918057.1,1.7215596634565808,37787.59999999986,1.9675729219777252,2041.0,220085.2,1.273039149946288,36003.80000000005,2.2720957713503216,1917.0,1138142.3,1.5476101705149756,37787.59999999963,2.2720957713503216,3958.0
F03-34,F03,OK,True,False,True,"{""lookback_completed_deals"": 12, ""risk_scale"": 0.9}",918057.1,1.7215596634565808,37787.59999999986,1.9675729219777252,2041.0,220085.2,1.273039149946288,36003.80000000005,2.2720957713503216,1917.0,1138142.3,1.5476101705149756,37787.59999999963,2.2720957713503216,3958.0
F03-40,F03,OK,True,False,True,"{""lookback_completed_deals"": 120, ""risk_scale"": 0.9}",918057.1,1.7215596634565808,37787.59999999986,1.9675729219777252,2041.0,220085.2,1.273039149946288,36003.80000000005,2.2720957713503216,1917.0,1138142.3,1.5476101705149756,37787.59999999963,2.2720957713503216,3958.0
F15-34,F15,OK,True,False,True,"{""lookback_completed_deals"": 12, ""risk_scale"": 0.9}",916750.2,1.7184581839794868,37838.0,1.9709506933123004,2041.0,220998.6,1.273487767037437,37636.0,2.3752841697811924,1917.0,1137748.8,1.5459259915026906,37838.0,2.3752841697811924,3958.0
