id,family,template,symbol,period,params,priority,lot,note,is_net,is_pf,is_n,oos_net,oos_pf,oos_n,verdict
M033,PB応答曲面_ADXxRR,PullbackTrend,GBPJPY,H4,"{'ADX_Threshold': 25, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子,3243.0,1.1479,30,11590.0,1.4247,38,PASS
M034,PB応答曲面_ADXxRR,PullbackTrend,GBPJPY,H4,"{'ADX_Threshold': 30, 'RR_Ratio': 1.5}",S,0.01,ADX閾値×RR比の格子,6546.0,1.433,28,4490.0,1.2497,33,PASS
M035,PB応答曲面_ADXxRR,PullbackTrend,GBPJPY,H4,"{'ADX_Threshold': 30, 'RR_Ratio': 2.5}",S,0.01,ADX閾値×RR比の格子,11447.0,1.7437,25,7763.0,1.4103,28,PASS
M036,PB応答曲面_ADXxRR,PullbackTrend,GBPJPY,H4,"{'ADX_Threshold': 30, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子,6711.0,1.4327,22,2714.0,1.1331,26,PASS
M037,PB応答曲面_傾きxSL,PullbackTrend,GBPJPY,H4,"{'MA_Slope_Min_ATR': 0.8, 'ATR_SL_Mult': 1.5}",S,0.01,環境フィルター強度×SL幅の格子,8900.0,1.2988,63,9377.0,1.2116,90,PASS
M038,PB応答曲面_傾きxSL,PullbackTrend,GBPJPY,H4,"{'MA_Slope_Min_ATR': 0.8, 'ATR_SL_Mult': 2.5}",S,0.01,環境フィルター強度×SL幅の格子,14781.0,1.4104,47,12424.0,1.2407,62,PASS
M039,PB応答曲面_傾きxSL,PullbackTrend,GBPJPY,H4,"{'MA_Slope_Min_ATR': 1.5, 'ATR_SL_Mult': 1.5}",S,0.01,環境フィルター強度×SL幅の格子,6514.0,1.6522,25,2031.0,1.0907,47,PASS
M040,PB応答曲面_傾きxSL,PullbackTrend,GBPJPY,H4,"{'MA_Slope_Min_ATR': 1.5, 'ATR_SL_Mult': 2.5}",S,0.01,環境フィルター強度×SL幅の格子,10094.0,1.9356,17,7645.0,1.3567,29,PASS
M041,PB応答曲面_傾きxSL,PullbackTrend,GBPJPY,H4,"{'MA_Slope_Min_ATR': 2.0, 'ATR_SL_Mult': 1.5}",S,0.01,環境フィルター強度×SL幅の格子,-23.0,0.9937,9,740.0,1.0972,17,reject
M042,PB応答曲面_傾きxSL,PullbackTrend,GBPJPY,H4,"{'MA_Slope_Min_ATR': 2.0, 'ATR_SL_Mult': 2.5}",S,0.01,環境フィルター強度×SL幅の格子,1178.0,1.2509,8,-1899.0,0.8198,13,reject
M049,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 15, 'RR_Ratio': 1.5}",S,0.01,ADX閾値×RR比の格子,,,,,,,FAIL
M050,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 15, 'RR_Ratio': 2.5}",S,0.01,ADX閾値×RR比の格子,,,,,,,FAIL
M051,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 15, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子,,,,,,,FAIL
M052,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 18, 'RR_Ratio': 1.5}",S,0.01,ADX閾値×RR比の格子,,,,,,,FAIL
M053,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 18, 'RR_Ratio': 2.5}",S,0.01,ADX閾値×RR比の格子,,,,,,,FAIL
M054,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 18, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子,,,,,,,FAIL
M055,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 25, 'RR_Ratio': 1.5}",S,0.01,ADX閾値×RR比の格子,,,,,,,FAIL
M056,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 25, 'RR_Ratio': 2.5}",S,0.01,ADX閾値×RR比の格子,,,,,,,FAIL
M057,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 25, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子,,,,,,,FAIL
M058,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 30, 'RR_Ratio': 1.5}",S,0.01,ADX閾値×RR比の格子,,,,,,,FAIL
M059,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 30, 'RR_Ratio': 2.5}",S,0.01,ADX閾値×RR比の格子,,,,,,,FAIL
M060,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 30, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子,,,,,,,FAIL
M061,PB応答曲面_傾きxSL,PullbackTrend,GOLD,H4,"{'MA_Slope_Min_ATR': 0.8, 'ATR_SL_Mult': 1.5}",S,0.01,環境フィルター強度×SL幅の格子,,,,,,,FAIL
M062,PB応答曲面_傾きxSL,PullbackTrend,GOLD,H4,"{'MA_Slope_Min_ATR': 0.8, 'ATR_SL_Mult': 2.5}",S,0.01,環境フィルター強度×SL幅の格子,,,,,,,FAIL
M063,PB応答曲面_傾きxSL,PullbackTrend,GOLD,H4,"{'MA_Slope_Min_ATR': 1.5, 'ATR_SL_Mult': 1.5}",S,0.01,環境フィルター強度×SL幅の格子,,,,,,,FAIL
M064,PB応答曲面_傾きxSL,PullbackTrend,GOLD,H4,"{'MA_Slope_Min_ATR': 1.5, 'ATR_SL_Mult': 2.5}",S,0.01,環境フィルター強度×SL幅の格子,,,,,,,FAIL
M065,PB応答曲面_傾きxSL,PullbackTrend,GOLD,H4,"{'MA_Slope_Min_ATR': 2.0, 'ATR_SL_Mult': 1.5}",S,0.01,環境フィルター強度×SL幅の格子,,,,,,,FAIL
M066,PB応答曲面_傾きxSL,PullbackTrend,GOLD,H4,"{'MA_Slope_Min_ATR': 2.0, 'ATR_SL_Mult': 2.5}",S,0.01,環境フィルター強度×SL幅の格子,,,,,,,FAIL
M073,RSI応答曲面_OBxOS,RSI_Reversal,EURUSD,H1,"{'RSI_Overbought': 70, 'RSI_Oversold': 20}",S,0.01,RSI閾値の格子,8027.0,1.0844,268,-2216.0,0.972,275,reject
M074,RSI応答曲面_OBxOS,RSI_Reversal,EURUSD,H1,"{'RSI_Overbought': 70, 'RSI_Oversold': 25}",S,0.01,RSI閾値の格子,8027.0,1.0844,268,-2216.0,0.972,275,reject
M075,RSI応答曲面_OBxOS,RSI_Reversal,EURUSD,H1,"{'RSI_Overbought': 70, 'RSI_Oversold': 30}",S,0.01,RSI閾値の格子,8027.0,1.0844,268,-2216.0,0.972,275,reject
M076,RSI応答曲面_OBxOS,RSI_Reversal,EURUSD,H1,"{'RSI_Overbought': 75, 'RSI_Oversold': 20}",S,0.01,RSI閾値の格子,8027.0,1.0844,268,-2216.0,0.972,275,reject
M077,RSI応答曲面_OBxOS,RSI_Reversal,EURUSD,H1,"{'RSI_Overbought': 75, 'RSI_Oversold': 25}",S,0.01,RSI閾値の格子,8027.0,1.0844,268,-2216.0,0.972,275,reject
M078,RSI応答曲面_OBxOS,RSI_Reversal,EURUSD,H1,"{'RSI_Overbought': 75, 'RSI_Oversold': 30}",S,0.01,RSI閾値の格子,8027.0,1.0844,268,-2216.0,0.972,275,reject
M079,RSI応答曲面_OBxOS,RSI_Reversal,EURUSD,H1,"{'RSI_Overbought': 80, 'RSI_Oversold': 20}",S,0.01,RSI閾値の格子,8027.0,1.0844,268,-2214.0,0.972,275,reject
