proposal_id,family,description,parameter_json,mult,window,status,net,pf,dd_pct,monthly_pct,trades,final_balance,balance_source,blown,deals,elapsed,run_id,pb_gold_net,pb_gold_n,sca_gold_net,sca_gold_n,sca2_net,sca2_n,eth_net,eth_n,fund_net,fund_n,bfx_net,bfx_n
G031,G,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.5 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=false / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":false,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.5,""GszSleeveMask"":3}",1,FULL,OK,743212.0,1.9066,4.5403,1.2925,933,1243212.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G031_20260910000928_6544_deals.csv,515.4,gc_full_G031_20260910000928_6544,227173,113,234370,487,143970,185,24731,44,31602,42,81366,62
G032,H,GszMode=1 / GszSleeveMask=1 / GszRiskPct=0.15 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.15,""GszSleeveMask"":1}",1,FULL,OK,729253.0,1.9605,4.5951,1.2683,933,1229253.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G032_20260910001803_85db_deals.csv,515.4,gc_full_G032_20260910001803_85db,217692,113,231660,487,143970,185,24731,44,31602,42,79598,62
G033,H,GszMode=1 / GszSleeveMask=2 / GszRiskPct=0.15 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.15,""GszSleeveMask"":2}",1,FULL,OK,729253.0,1.9605,4.5951,1.2683,933,1229253.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G033_20260910002638_40f2_deals.csv,515.4,gc_full_G033_20260910002638_40f2,217692,113,231660,487,143970,185,24731,44,31602,42,79598,62
G034,H,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.15 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.15,""GszSleeveMask"":3}",1,FULL,OK,729253.0,1.9605,4.5951,1.2683,933,1229253.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G034_20260910003514_f9e4_deals.csv,515.3,gc_full_G034_20260910003514_f9e4,217692,113,231660,487,143970,185,24731,44,31602,42,79598,62
G035,H,GszMode=1 / GszSleeveMask=1 / GszRiskPct=0.35 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.35,""GszSleeveMask"":1}",1,FULL,OK,728845.0,1.9557,4.5976,1.2676,933,1228845.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G035_20260910004349_54b9_deals.csv,510.3,gc_full_G035_20260910004349_54b9,217284,113,231660,487,143970,185,24731,44,31602,42,79598,62
G036,H,GszMode=1 / GszSleeveMask=2 / GszRiskPct=0.35 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.35,""GszSleeveMask"":2}",1,FULL,OK,723903.0,1.9092,4.628,1.259,933,1223903.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G036_20260910005219_b4b8_deals.csv,520.4,gc_full_G036_20260910005219_b4b8,217692,113,226310,487,143970,185,24731,44,31602,42,79598,62
G037,H,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.35 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.35,""GszSleeveMask"":3}",1,FULL,OK,723495.0,1.905,4.6306,1.2583,933,1223495.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G037_20260910010100_2cd7_deals.csv,545.6,gc_full_G037_20260910010100_2cd7,217284,113,226310,487,143970,185,24731,44,31602,42,79598,62
G038,H,GszMode=1 / GszSleeveMask=1 / GszRiskPct=0.6 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.6,""GszSleeveMask"":1}",1,FULL,OK,744599.0,1.9279,4.5033,1.295,933,1244599.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G038_20260910011005_a973_deals.csv,540.6,gc_full_G038_20260910011005_a973,229643,113,231660,487,143970,185,24731,44,31602,42,82993,62
G039,H,GszMode=1 / GszSleeveMask=2 / GszRiskPct=0.6 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.6,""GszSleeveMask"":2}",1,FULL,OK,769871.0,1.8147,6.4542,1.3389,933,1269871.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G039_20260910011906_076d_deals.csv,515.4,gc_full_G039_20260910011906_076d,217692,113,272278,487,143970,185,24731,44,31602,42,79598,62
G040,H,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.6 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.6,""GszSleeveMask"":3}",1,FULL,OK,789325.0,1.7884,6.7116,1.3727,933,1289325.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G040_20260910012741_cefc_deals.csv,525.4,gc_full_G040_20260910012741_cefc,228609,113,277420,487,143970,185,24731,44,31602,42,82993,62
