book,window,k,block_length,ruin_frac,initial,n_paths,max_horizon,seed,n_trades,window_months,median_months_double,p_double,p_ruin,p_unresolved,n_double,n_ruin,n_unresolved,max_trades,median_trades_double,median_final_double,median_final_ruin
fx,OOS,32,1,0.3,500000,10000,3,20260911,1372,55.0,2.8462099125364433,0.6198,0.3802,0.0,6198,3802,0,4116,71.0,1055829.8027836797,142820.8346878967
fx,OOS,0.5,10,0.1,500000,10000,3,20260911,1372,55.0,,0.0,0.0,1.0,0,0,10000,4116,,,
fx,OOS,1,10,0.1,500000,10000,3,20260911,1372,55.0,149.56632653061226,0.0607,0.0,0.9393,607,0,9393,4116,3731.0,1002059.5660353194,
fx,OOS,2,10,0.1,500000,10000,3,20260911,1372,55.0,110.76166180758017,0.6452,0.0,0.3548,6452,0,3548,4116,2763.0,1003827.0890320382,
fx,OOS,3,10,0.1,500000,10000,3,20260911,1372,55.0,82.17930029154519,0.8442,0.0,0.1558,8442,0,1558,4116,2050.0,1005536.005607625,
fx,OOS,4,10,0.1,500000,10000,3,20260911,1372,55.0,63.498542274052475,0.9031,0.0,0.0969,9031,0,969,4116,1584.0,1007477.8424329134,
fx,OOS,6,10,0.1,500000,10000,3,20260911,1372,55.0,43.65524781341108,0.9377,0.0001,0.0622,9377,1,622,4116,1089.0,1010900.6891808287,49810.319786097934
fx,OOS,8,10,0.1,500000,10000,3,20260911,1372,55.0,32.31049562682216,0.9462,0.0022,0.0516,9462,22,516,4116,806.0,1014777.3643515443,49313.13557406531
fx,OOS,12,10,0.1,500000,10000,3,20260911,1372,55.0,21.04591836734694,0.9325,0.0381,0.0294,9325,381,294,4116,525.0,1021515.0258419092,49268.45412242383
fx,OOS,16,10,0.1,500000,10000,3,20260911,1372,55.0,14.63192419825073,0.889,0.1023,0.0087,8890,1023,87,4116,365.0,1026994.6510339743,49112.14565871296
fx,OOS,24,10,0.1,500000,10000,3,20260911,1372,55.0,7.215743440233236,0.7645,0.2355,0.0,7645,2355,0,4116,180.0,1039404.4282243038,48494.847886498035
fx,OOS,32,10,0.1,500000,10000,3,20260911,1372,55.0,4.1290087463556855,0.6763,0.3237,0.0,6763,3237,0,4116,103.0,1049537.626646568,47873.382582184306
fx,OOS,0.5,10,0.2,500000,10000,3,20260911,1372,55.0,,0.0,0.0,1.0,0,0,10000,4116,,,
fx,OOS,1,10,0.2,500000,10000,3,20260911,1372,55.0,149.56632653061226,0.0607,0.0,0.9393,607,0,9393,4116,3731.0,1002059.5660353194,
fx,OOS,2,10,0.2,500000,10000,3,20260911,1372,55.0,110.76166180758017,0.6452,0.0,0.3548,6452,0,3548,4116,2763.0,1003827.0890320382,
fx,OOS,3,10,0.2,500000,10000,3,20260911,1372,55.0,82.17930029154519,0.8442,0.0,0.1558,8442,0,1558,4116,2050.0,1005536.005607625,
fx,OOS,4,10,0.2,500000,10000,3,20260911,1372,55.0,63.498542274052475,0.9031,0.0,0.0969,9031,0,969,4116,1584.0,1007477.8424329134,
fx,OOS,6,10,0.2,500000,10000,3,20260911,1372,55.0,43.65524781341108,0.9377,0.0024,0.0599,9377,24,599,4116,1089.0,1010900.6891808287,98731.58721132437
fx,OOS,8,10,0.2,500000,10000,3,20260911,1372,55.0,32.190233236151606,0.943,0.0186,0.0384,9430,186,384,4116,803.0,1014773.8057215894,99007.00273646055
fx,OOS,12,10,0.2,500000,10000,3,20260911,1372,55.0,20.12390670553936,0.8981,0.0928,0.0091,8981,928,91,4116,502.0,1021521.6992569756,98757.63726088649
fx,OOS,16,10,0.2,500000,10000,3,20260911,1372,55.0,12.988338192419825,0.8212,0.1782,0.0006,8212,1782,6,4116,324.0,1026878.026195006,98250.60704814007
fx,OOS,24,10,0.2,500000,10000,3,20260911,1372,55.0,6.193513119533527,0.694,0.306,0.0,6940,3060,0,4116,154.5,1038925.2134873922,96906.84365546441
fx,OOS,32,10,0.2,500000,10000,3,20260911,1372,55.0,3.607871720116618,0.6137,0.3863,0.0,6137,3863,0,4116,90.0,1049181.7494141408,95941.67492984983
fx,OOS,0.5,10,0.3,500000,10000,3,20260911,1372,55.0,,0.0,0.0,1.0,0,0,10000,4116,,,
fx,OOS,1,10,0.3,500000,10000,3,20260911,1372,55.0,149.56632653061226,0.0607,0.0,0.9393,607,0,9393,4116,3731.0,1002059.5660353194,
fx,OOS,2,10,0.3,500000,10000,3,20260911,1372,55.0,110.76166180758017,0.6452,0.0,0.3548,6452,0,3548,4116,2763.0,1003827.0890320382,
fx,OOS,3,10,0.3,500000,10000,3,20260911,1372,55.0,82.17930029154519,0.8442,0.0,0.1558,8442,0,1558,4116,2050.0,1005536.005607625,
fx,OOS,4,10,0.3,500000,10000,3,20260911,1372,55.0,63.498542274052475,0.9031,0.0005,0.0964,9031,5,964,4116,1584.0,1007477.8424329134,148963.77389006235
