book,window,k,block_length,ruin_frac,initial,n_paths,max_horizon,seed,n_trades,window_months,median_months_double,p_double,p_ruin,p_unresolved,n_double,n_ruin,n_unresolved,max_trades,median_trades_double,median_final_double,median_final_ruin
fx,OOS,8,20,0.3,500000,10000,3,20260911,1372,55.0,30.907434402332363,0.9442,0.0342,0.0216,9442,342,216,4116,771.0,1014395.2220244153,148662.38578242017
fx,OOS,12,20,0.3,500000,10000,3,20260911,1372,55.0,17.879008746355684,0.8651,0.132,0.0029,8651,1320,29,4116,446.0,1020168.8134171633,148193.30748888812
fx,OOS,16,20,0.3,500000,10000,3,20260911,1372,55.0,11.30466472303207,0.7823,0.2176,0.0001,7823,2176,1,4116,282.0,1027004.9898356519,147429.75882661794
fx,OOS,24,20,0.3,500000,10000,3,20260911,1372,55.0,5.49198250728863,0.662,0.338,0.0,6620,3380,0,4116,137.0,1037796.6846021693,145985.07852230614
fx,OOS,32,20,0.3,500000,10000,3,20260911,1372,55.0,3.126822157434402,0.5923,0.4077,0.0,5923,4077,0,4116,78.0,1046921.0870884798,144466.26545988515
fx,OOS,0.5,50,0.1,500000,10000,3,20260911,1372,55.0,,0.0,0.0,1.0,0,0,10000,4116,,,
fx,OOS,1,50,0.1,500000,10000,3,20260911,1372,55.0,151.5706997084548,0.023,0.0,0.977,230,0,9770,4116,3781.0,1001439.9906616649,
fx,OOS,2,50,0.1,500000,10000,3,20260911,1372,55.0,117.85714285714286,0.651,0.0,0.349,6510,0,3490,4116,2940.0,1003399.3142269804,
fx,OOS,3,50,0.1,500000,10000,3,20260911,1372,55.0,86.82944606413994,0.8679,0.0,0.1321,8679,0,1321,4116,2166.0,1005026.6220543715,
fx,OOS,4,50,0.1,500000,10000,3,20260911,1372,55.0,67.14650145772595,0.9303,0.0,0.0697,9303,0,697,4116,1675.0,1006843.3818737734,
fx,OOS,6,50,0.1,500000,10000,3,20260911,1372,55.0,45.41909620991254,0.9625,0.0,0.0375,9625,0,375,4116,1133.0,1009894.4097057574,
fx,OOS,8,50,0.1,500000,10000,3,20260911,1372,55.0,34.475218658892125,0.9672,0.0004,0.0324,9672,4,324,4116,860.0,1013048.6623351777,48936.689257378704
fx,OOS,12,50,0.1,500000,10000,3,20260911,1372,55.0,22.809766763848398,0.9575,0.0126,0.0299,9575,126,299,4116,569.0,1018850.383177226,49415.83599358577
fx,OOS,16,50,0.1,500000,10000,3,20260911,1372,55.0,16.275510204081634,0.9229,0.0569,0.0202,9229,569,202,4116,406.0,1023658.1951347418,49283.096387257865
fx,OOS,24,50,0.1,500000,10000,3,20260911,1372,55.0,8.378279883381925,0.7994,0.1994,0.0012,7994,1994,12,4116,209.0,1030785.560938658,48747.34961068761
fx,OOS,32,50,0.1,500000,10000,3,20260911,1372,55.0,4.489795918367347,0.6985,0.3015,0.0,6985,3015,0,4116,112.0,1047919.5100338464,48357.02764868945
fx,OOS,0.5,50,0.2,500000,10000,3,20260911,1372,55.0,,0.0,0.0,1.0,0,0,10000,4116,,,
fx,OOS,1,50,0.2,500000,10000,3,20260911,1372,55.0,151.5706997084548,0.023,0.0,0.977,230,0,9770,4116,3781.0,1001439.9906616649,
fx,OOS,2,50,0.2,500000,10000,3,20260911,1372,55.0,117.85714285714286,0.651,0.0,0.349,6510,0,3490,4116,2940.0,1003399.3142269804,
fx,OOS,3,50,0.2,500000,10000,3,20260911,1372,55.0,86.82944606413994,0.8679,0.0,0.1321,8679,0,1321,4116,2166.0,1005026.6220543715,
fx,OOS,4,50,0.2,500000,10000,3,20260911,1372,55.0,67.14650145772595,0.9303,0.0,0.0697,9303,0,697,4116,1675.0,1006843.3818737734,
fx,OOS,6,50,0.2,500000,10000,3,20260911,1372,55.0,45.41909620991254,0.9625,0.0004,0.0371,9625,4,371,4116,1133.0,1009894.4097057574,99148.5932569702
fx,OOS,8,50,0.2,500000,10000,3,20260911,1372,55.0,34.475218658892125,0.9669,0.0044,0.0287,9669,44,287,4116,860.0,1013035.3395246132,99649.80247268366
fx,OOS,12,50,0.2,500000,10000,3,20260911,1372,55.0,22.38884839650146,0.943,0.0428,0.0142,9430,428,142,4116,558.5,1018920.9324376509,99002.04730067684
fx,OOS,16,50,0.2,500000,10000,3,20260911,1372,55.0,14.912536443148689,0.8735,0.1237,0.0028,8735,1237,28,4116,372.0,1023701.2892116695,98384.79900255785
fx,OOS,24,50,0.2,500000,10000,3,20260911,1372,55.0,7.135568513119534,0.7295,0.2705,0.0,7295,2705,0,4116,178.0,1030417.5102653861,97426.10616057456
fx,OOS,32,50,0.2,500000,10000,3,20260911,1372,55.0,4.0087463556851315,0.6427,0.3573,0.0,6427,3573,0,4116,100.0,1048156.947793641,96620.18990761165
fx,OOS,0.5,50,0.3,500000,10000,3,20260911,1372,55.0,,0.0,0.0,1.0,0,0,10000,4116,,,
fx,OOS,1,50,0.3,500000,10000,3,20260911,1372,55.0,151.5706997084548,0.023,0.0,0.977,230,0,9770,4116,3781.0,1001439.9906616649,
fx,OOS,2,50,0.3,500000,10000,3,20260911,1372,55.0,117.85714285714286,0.651,0.0,0.349,6510,0,3490,4116,2940.0,1003399.3142269804,
fx,OOS,3,50,0.3,500000,10000,3,20260911,1372,55.0,86.82944606413994,0.8679,0.0,0.1321,8679,0,1321,4116,2166.0,1005026.6220543715,
fx,OOS,4,50,0.3,500000,10000,3,20260911,1372,55.0,67.14650145772595,0.9303,0.0,0.0697,9303,0,697,4116,1675.0,1006843.3818737734,
fx,OOS,6,50,0.3,500000,10000,3,20260911,1372,55.0,45.41909620991254,0.9623,0.0028,0.0349,9623,28,349,4116,1133.0,1009894.4097057574,149094.19353582227
fx,OOS,8,50,0.3,500000,10000,3,20260911,1372,55.0,34.254737609329446,0.9612,0.018,0.0208,9612,180,208,4116,854.5,1013048.6623351777,149069.77002103615
fx,OOS,12,50,0.3,500000,10000,3,20260911,1372,55.0,21.12609329446064,0.9024,0.0927,0.0049,9024,927,49,4116,527.0,1018907.3296359832,148455.0363792731
fx,OOS,16,50,0.3,500000,10000,3,20260911,1372,55.0,13.509475218658892,0.8099,0.1898,0.0003,8099,1898,3,4116,337.0,1023651.0832936567,147720.89935541042
fx,OOS,24,50,0.3,500000,10000,3,20260911,1372,55.0,6.41399416909621,0.6673,0.3327,0.0,6673,3327,0,4116,160.0,1030243.44610921,146416.9693705198
fx,OOS,32,50,0.3,500000,10000,3,20260911,1372,55.0,3.487609329446064,0.5848,0.4152,0.0,5848,4152,0,4116,87.0,1049383.8295582517,144641.72893533827
