book,window,k,block_length,ruin_frac,initial,n_paths,max_horizon,seed,n_trades,window_months,median_months_double,p_double,p_ruin,p_unresolved,n_double,n_ruin,n_unresolved,max_trades,median_trades_double,median_final_double,median_final_ruin
fx,IS,32,1,0.3,500000,10000,3,20260911,1591,60.0,1.8478944060339408,0.6572,0.3428,0.0,6572,3428,0,4773,49.0,1072761.9695110726,139252.12266949713
fx,IS,0.5,10,0.1,500000,10000,3,20260911,1591,60.0,161.03079824010055,0.3241,0.0,0.6759,3241,0,6759,4773,4270.0,1001618.7362991602,
fx,IS,1,10,0.1,500000,10000,3,20260911,1591,60.0,98.37209302325581,0.9804,0.0,0.0196,9804,0,196,4773,2608.5,1003055.0455469966,
fx,IS,2,10,0.1,500000,10000,3,20260911,1591,60.0,49.32746700188561,0.9996,0.0,0.0004,9996,0,4,4773,1308.0,1005996.4051316218,
fx,IS,3,10,0.1,500000,10000,3,20260911,1591,60.0,33.11125078566939,1.0,0.0,0.0,10000,0,0,4773,878.0,1009039.7370661166,
fx,IS,4,10,0.1,500000,10000,3,20260911,1591,60.0,24.965430546825896,1.0,0.0,0.0,10000,0,0,4773,662.0,1011717.5751424124,
fx,IS,6,10,0.1,500000,10000,3,20260911,1591,60.0,16.668761785040854,1.0,0.0,0.0,10000,0,0,4773,442.0,1017583.566584748,
fx,IS,8,10,0.1,500000,10000,3,20260911,1591,60.0,12.595851665619108,0.9997,0.0003,0.0,9997,3,0,4773,334.0,1021687.4099394042,49826.269338896695
fx,IS,12,10,0.1,500000,10000,3,20260911,1591,60.0,8.4098051539912,0.9942,0.0058,0.0,9942,58,0,4773,223.0,1031099.3610329333,49267.35950428329
fx,IS,16,10,0.1,500000,10000,3,20260911,1591,60.0,6.222501571338781,0.9737,0.0263,0.0,9737,263,0,4773,165.0,1041544.4606435533,48789.77093617696
fx,IS,24,10,0.1,500000,10000,3,20260911,1591,60.0,3.6957888120678817,0.89,0.11,0.0,8900,1100,0,4773,98.0,1059735.5370861809,48114.11836646174
fx,IS,32,10,0.1,500000,10000,3,20260911,1591,60.0,2.3004399748585795,0.795,0.205,0.0,7950,2050,0,4773,61.0,1072251.4869727292,46865.98837122944
fx,IS,0.5,10,0.2,500000,10000,3,20260911,1591,60.0,161.03079824010055,0.3241,0.0,0.6759,3241,0,6759,4773,4270.0,1001618.7362991602,
fx,IS,1,10,0.2,500000,10000,3,20260911,1591,60.0,98.37209302325581,0.9804,0.0,0.0196,9804,0,196,4773,2608.5,1003055.0455469966,
fx,IS,2,10,0.2,500000,10000,3,20260911,1591,60.0,49.32746700188561,0.9996,0.0,0.0004,9996,0,4,4773,1308.0,1005996.4051316218,
