book,window,k,block_length,ruin_frac,initial,n_paths,max_horizon,seed,n_trades,window_months,median_months_double,p_double,p_ruin,p_unresolved,n_double,n_ruin,n_unresolved,max_trades,median_trades_double,median_final_double,median_final_ruin
fx,FULL,24,1,0.3,500000,10000,3,20260911,2964,115.0,3.5695006747638325,0.7532,0.2468,0.0,7532,2468,0,8892,92.0,1054393.0603316808,144144.27671769663
fx,FULL,32,1,0.3,500000,10000,3,20260911,2964,115.0,2.1727395411605936,0.6627,0.3373,0.0,6627,3373,0,8892,56.0,1067255.9104339853,141364.8216821628
fx,FULL,0.5,10,0.1,500000,10000,3,20260911,2964,115.0,250.87381916329284,0.9266,0.0,0.0734,9266,0,734,8892,6466.0,1001443.678619971,
fx,FULL,1,10,0.1,500000,10000,3,20260911,2964,115.0,127.37685560053981,0.9999,0.0,0.0001,9999,0,1,8892,3283.0,1002943.3408614998,
fx,FULL,2,10,0.1,500000,10000,3,20260911,2964,115.0,63.90182186234818,1.0,0.0,0.0,10000,0,0,8892,1647.0,1005683.2691328574,
fx,FULL,3,10,0.1,500000,10000,3,20260911,2964,115.0,42.640013495276655,1.0,0.0,0.0,10000,0,0,8892,1099.0,1008366.2034549444,
fx,FULL,4,10,0.1,500000,10000,3,20260911,2964,115.0,31.931511470985154,1.0,0.0,0.0,10000,0,0,8892,823.0,1010875.269146861,
fx,FULL,6,10,0.1,500000,10000,3,20260911,2964,115.0,21.30060728744939,1.0,0.0,0.0,10000,0,0,8892,549.0,1015530.6595122854,
fx,FULL,8,10,0.1,500000,10000,3,20260911,2964,115.0,16.02395411605938,0.9996,0.0004,0.0,9996,4,0,8892,413.0,1020612.7861081109,48501.03444857675
fx,FULL,12,10,0.1,500000,10000,3,20260911,2964,115.0,10.747300944669366,0.9929,0.0071,0.0,9929,71,0,8892,277.0,1030201.2262737124,49240.459387741495
fx,FULL,16,10,0.1,500000,10000,3,20260911,2964,115.0,7.876180836707152,0.9703,0.0297,0.0,9703,297,0,8892,203.0,1039026.4062218546,48920.45810135406
fx,FULL,24,10,0.1,500000,10000,3,20260911,2964,115.0,4.578272604588394,0.8811,0.1189,0.0,8811,1189,0,8892,118.0,1055060.9327248484,48150.19101940394
fx,FULL,32,10,0.1,500000,10000,3,20260911,2964,115.0,2.909919028340081,0.7946,0.2054,0.0,7946,2054,0,8892,75.0,1073183.2701668383,47240.17489811267
