book,window,k,block_length,ruin_frac,initial,n_paths,max_horizon,seed,n_trades,window_months,median_months_double,p_double,p_ruin,p_unresolved,n_double,n_ruin,n_unresolved,max_trades,median_trades_double,median_final_double,median_final_ruin
gold,FULL,0.5,10,0.1,500000,10000,3,20260911,932,115.0,112.28540772532189,1.0,0.0,0.0,10000,0,0,2796,910.0,1003746.2191756967,
gold,FULL,1,10,0.1,500000,10000,3,20260911,932,115.0,57.5,1.0,0.0,0.0,10000,0,0,2796,466.0,1007543.6839141729,
gold,FULL,2,10,0.1,500000,10000,3,20260911,932,115.0,30.4774678111588,1.0,0.0,0.0,10000,0,0,2796,247.0,1014801.6445458985,
gold,FULL,3,10,0.1,500000,10000,3,20260911,932,115.0,21.34656652360515,1.0,0.0,0.0,10000,0,0,2796,173.0,1022005.3644652956,
gold,FULL,4,10,0.1,500000,10000,3,20260911,932,115.0,16.781115879828327,1.0,0.0,0.0,10000,0,0,2796,136.0,1029194.6533876928,
gold,FULL,6,10,0.1,500000,10000,3,20260911,932,115.0,11.722103004291846,1.0,0.0,0.0,10000,0,0,2796,95.0,1038456.3539545208,
gold,FULL,8,10,0.1,500000,10000,3,20260911,932,115.0,9.254291845493562,1.0,0.0,0.0,10000,0,0,2796,75.0,1046729.4620523131,
gold,FULL,12,10,0.1,500000,10000,3,20260911,932,115.0,6.663090128755365,1.0,0.0,0.0,10000,0,0,2796,54.0,1061087.794347125,
gold,FULL,16,10,0.1,500000,10000,3,20260911,932,115.0,5.305793991416309,0.9978,0.0022,0.0,9978,22,0,2796,43.0,1079093.1477066507,46935.5665191357
gold,FULL,24,10,0.1,500000,10000,3,20260911,932,115.0,3.578326180257511,0.9495,0.0505,0.0,9495,505,0,2796,29.0,1101921.118015367,42056.85651338272
gold,FULL,32,10,0.1,500000,10000,3,20260911,932,115.0,2.7145922746781115,0.8961,0.1039,0.0,8961,1039,0,2796,22.0,1116271.5961683607,-36031.999999999956
gold,FULL,0.5,10,0.2,500000,10000,3,20260911,932,115.0,112.28540772532189,1.0,0.0,0.0,10000,0,0,2796,910.0,1003746.2191756967,
gold,FULL,1,10,0.2,500000,10000,3,20260911,932,115.0,57.5,1.0,0.0,0.0,10000,0,0,2796,466.0,1007543.6839141729,
gold,FULL,2,10,0.2,500000,10000,3,20260911,932,115.0,30.4774678111588,1.0,0.0,0.0,10000,0,0,2796,247.0,1014801.6445458985,
gold,FULL,3,10,0.2,500000,10000,3,20260911,932,115.0,21.34656652360515,1.0,0.0,0.0,10000,0,0,2796,173.0,1022005.3644652956,
gold,FULL,4,10,0.2,500000,10000,3,20260911,932,115.0,16.781115879828327,1.0,0.0,0.0,10000,0,0,2796,136.0,1029194.6533876928,
gold,FULL,6,10,0.2,500000,10000,3,20260911,932,115.0,11.722103004291846,1.0,0.0,0.0,10000,0,0,2796,95.0,1038456.3539545208,
gold,FULL,8,10,0.2,500000,10000,3,20260911,932,115.0,9.254291845493562,1.0,0.0,0.0,10000,0,0,2796,75.0,1046729.4620523131,
gold,FULL,12,10,0.2,500000,10000,3,20260911,932,115.0,6.663090128755365,0.9983,0.0017,0.0,9983,17,0,2796,54.0,1061094.1968127177,96773.91919235465
gold,FULL,16,10,0.2,500000,10000,3,20260911,932,115.0,5.182403433476395,0.988,0.012,0.0,9880,120,0,2796,42.0,1078983.0473413828,94162.65180318287
gold,FULL,24,10,0.2,500000,10000,3,20260911,932,115.0,3.4549356223175964,0.907,0.093,0.0,9070,930,0,2796,28.0,1101393.5231740589,82462.91180911087
gold,FULL,32,10,0.2,500000,10000,3,20260911,932,115.0,2.5912017167381975,0.8583,0.1417,0.0,8583,1417,0,2796,21.0,1115268.8832462013,63148.665061329986
gold,FULL,0.5,10,0.3,500000,10000,3,20260911,932,115.0,112.28540772532189,1.0,0.0,0.0,10000,0,0,2796,910.0,1003746.2191756967,
gold,FULL,1,10,0.3,500000,10000,3,20260911,932,115.0,57.5,1.0,0.0,0.0,10000,0,0,2796,466.0,1007543.6839141729,
gold,FULL,2,10,0.3,500000,10000,3,20260911,932,115.0,30.4774678111588,1.0,0.0,0.0,10000,0,0,2796,247.0,1014801.6445458985,
gold,FULL,3,10,0.3,500000,10000,3,20260911,932,115.0,21.34656652360515,1.0,0.0,0.0,10000,0,0,2796,173.0,1022005.3644652956,
gold,FULL,4,10,0.3,500000,10000,3,20260911,932,115.0,16.781115879828327,1.0,0.0,0.0,10000,0,0,2796,136.0,1029194.6533876928,
gold,FULL,6,10,0.3,500000,10000,3,20260911,932,115.0,11.722103004291846,1.0,0.0,0.0,10000,0,0,2796,95.0,1038456.3539545208,
gold,FULL,8,10,0.3,500000,10000,3,20260911,932,115.0,9.254291845493562,0.9997,0.0003,0.0,9997,3,0,2796,75.0,1046744.6346334292,145494.82859767362
gold,FULL,12,10,0.3,500000,10000,3,20260911,932,115.0,6.663090128755365,0.9926,0.0074,0.0,9926,74,0,2796,54.0,1061059.726677402,144149.77969679964
gold,FULL,16,10,0.3,500000,10000,3,20260911,932,115.0,5.182403433476395,0.9649,0.0351,0.0,9649,351,0,2796,42.0,1078449.948016408,139932.11418017678
gold,FULL,24,10,0.3,500000,10000,3,20260911,932,115.0,3.3315450643776825,0.8734,0.1266,0.0,8734,1266,0,2796,27.0,1101013.33441873,109652.06739259645
gold,FULL,32,10,0.3,500000,10000,3,20260911,932,115.0,2.5912017167381975,0.8246,0.1754,0.0,8246,1754,0,2796,21.0,1114669.0371725815,109898.34680139775
gold,FULL,0.5,20,0.1,500000,10000,3,20260911,932,115.0,112.53218884120172,1.0,0.0,0.0,10000,0,0,2796,912.0,1003797.6757129757,
gold,FULL,1,20,0.1,500000,10000,3,20260911,932,115.0,58.857296137339056,1.0,0.0,0.0,10000,0,0,2796,477.0,1007809.2604457971,
gold,FULL,2,20,0.1,500000,10000,3,20260911,932,115.0,32.451716738197426,1.0,0.0,0.0,10000,0,0,2796,263.0,1015180.7739567223,
gold,FULL,3,20,0.1,500000,10000,3,20260911,932,115.0,23.197424892703864,1.0,0.0,0.0,10000,0,0,2796,188.0,1021119.9613478485,
gold,FULL,4,20,0.1,500000,10000,3,20260911,932,115.0,18.138412017167383,1.0,0.0,0.0,10000,0,0,2796,147.0,1025854.5831443327,
gold,FULL,6,20,0.1,500000,10000,3,20260911,932,115.0,12.832618025751072,1.0,0.0,0.0,10000,0,0,2796,104.0,1034136.2076605988,
gold,FULL,8,20,0.1,500000,10000,3,20260911,932,115.0,10.241416309012875,1.0,0.0,0.0,10000,0,0,2796,83.0,1041980.6398290764,
gold,FULL,12,20,0.1,500000,10000,3,20260911,932,115.0,7.4034334763948495,1.0,0.0,0.0,10000,0,0,2796,60.0,1053748.8048697887,
gold,FULL,16,20,0.1,500000,10000,3,20260911,932,115.0,5.92274678111588,0.9991,0.0009,0.0,9991,9,0,2796,48.0,1067878.203392,46526.192735075136
gold,FULL,24,20,0.1,500000,10000,3,20260911,932,115.0,3.948497854077253,0.9628,0.0372,0.0,9628,372,0,2796,32.0,1091123.364398665,43409.53080237393
