book,window,k,block_length,ruin_frac,initial,n_paths,max_horizon,seed,n_trades,window_months,median_months_double,p_double,p_ruin,p_unresolved,n_double,n_ruin,n_unresolved,max_trades,median_trades_double,median_final_double,median_final_ruin
gold,OOS,0.5,10,0.1,500000,10000,3,20260911,470,55.0,,0.0,0.0,1.0,0,0,10000,1410,,,
gold,OOS,1,10,0.1,500000,10000,3,20260911,470,55.0,140.77659574468086,0.5026,0.0,0.4974,5026,0,4974,1410,1203.0,1003458.9268842828,
gold,OOS,2,10,0.1,500000,10000,3,20260911,470,55.0,82.5,0.9865,0.0,0.0135,9865,0,135,1410,705.0,1006811.1296401867,
gold,OOS,3,10,0.1,500000,10000,3,20260911,470,55.0,55.819148936170215,0.9982,0.0,0.0018,9982,0,18,1410,477.0,1009966.3007430928,
gold,OOS,4,10,0.1,500000,10000,3,20260911,470,55.0,42.12765957446808,0.9996,0.0,0.0004,9996,0,4,1410,360.0,1013256.6082740576,
gold,OOS,6,10,0.1,500000,10000,3,20260911,470,55.0,28.43617021276596,1.0,0.0,0.0,10000,0,0,1410,243.0,1018841.3844704258,
gold,OOS,8,10,0.1,500000,10000,3,20260911,470,55.0,21.648936170212767,1.0,0.0,0.0,10000,0,0,1410,185.0,1025589.1544356516,
gold,OOS,12,10,0.1,500000,10000,3,20260911,470,55.0,14.97872340425532,1.0,0.0,0.0,10000,0,0,1410,128.0,1036878.5005223718,
gold,OOS,16,10,0.1,500000,10000,3,20260911,470,55.0,11.46808510638298,0.9981,0.0016,0.0003,9981,16,3,1410,98.0,1047931.3038757155,48632.84880914886
gold,OOS,24,10,0.1,500000,10000,3,20260911,470,55.0,7.372340425531915,0.9272,0.0728,0.0,9272,728,0,1410,63.0,1066665.3717505368,39196.62641159924
gold,OOS,32,10,0.1,500000,10000,3,20260911,470,55.0,5.26595744680851,0.8605,0.1395,0.0,8605,1395,0,1410,45.0,1086210.607903469,-95389.66510984662
gold,OOS,0.5,10,0.2,500000,10000,3,20260911,470,55.0,,0.0,0.0,1.0,0,0,10000,1410,,,
gold,OOS,1,10,0.2,500000,10000,3,20260911,470,55.0,140.77659574468086,0.5026,0.0,0.4974,5026,0,4974,1410,1203.0,1003458.9268842828,
gold,OOS,2,10,0.2,500000,10000,3,20260911,470,55.0,82.5,0.9865,0.0,0.0135,9865,0,135,1410,705.0,1006811.1296401867,
gold,OOS,3,10,0.2,500000,10000,3,20260911,470,55.0,55.819148936170215,0.9982,0.0,0.0018,9982,0,18,1410,477.0,1009966.3007430928,
gold,OOS,4,10,0.2,500000,10000,3,20260911,470,55.0,42.12765957446808,0.9996,0.0,0.0004,9996,0,4,1410,360.0,1013256.6082740576,
gold,OOS,6,10,0.2,500000,10000,3,20260911,470,55.0,28.43617021276596,1.0,0.0,0.0,10000,0,0,1410,243.0,1018841.3844704258,
gold,OOS,8,10,0.2,500000,10000,3,20260911,470,55.0,21.648936170212767,1.0,0.0,0.0,10000,0,0,1410,185.0,1025589.1544356516,
gold,OOS,12,10,0.2,500000,10000,3,20260911,470,55.0,14.861702127659575,0.999,0.001,0.0,9990,10,0,1410,127.0,1036880.6258435958,96220.76215943997
gold,OOS,16,10,0.2,500000,10000,3,20260911,470,55.0,11.351063829787234,0.9862,0.0138,0.0,9862,138,0,1410,97.0,1048034.7704760565,97363.84212242856
gold,OOS,24,10,0.2,500000,10000,3,20260911,470,55.0,6.670212765957447,0.8572,0.1428,0.0,8572,1428,0,1410,57.0,1066603.9473128705,81572.59642487846
gold,OOS,32,10,0.2,500000,10000,3,20260911,470,55.0,5.148936170212766,0.8496,0.1504,0.0,8496,1504,0,1410,44.0,1086213.00681981,-94943.6872379332
gold,OOS,0.5,10,0.3,500000,10000,3,20260911,470,55.0,,0.0,0.0,1.0,0,0,10000,1410,,,
gold,OOS,1,10,0.3,500000,10000,3,20260911,470,55.0,140.77659574468086,0.5026,0.0,0.4974,5026,0,4974,1410,1203.0,1003458.9268842828,
gold,OOS,2,10,0.3,500000,10000,3,20260911,470,55.0,82.5,0.9865,0.0,0.0135,9865,0,135,1410,705.0,1006811.1296401867,
gold,OOS,3,10,0.3,500000,10000,3,20260911,470,55.0,55.819148936170215,0.9982,0.0,0.0018,9982,0,18,1410,477.0,1009966.3007430928,
gold,OOS,4,10,0.3,500000,10000,3,20260911,470,55.0,42.12765957446808,0.9996,0.0,0.0004,9996,0,4,1410,360.0,1013256.6082740576,
gold,OOS,6,10,0.3,500000,10000,3,20260911,470,55.0,28.43617021276596,1.0,0.0,0.0,10000,0,0,1410,243.0,1018841.3844704258,
gold,OOS,8,10,0.3,500000,10000,3,20260911,470,55.0,21.648936170212767,1.0,0.0,0.0,10000,0,0,1410,185.0,1025589.1544356516,
gold,OOS,12,10,0.3,500000,10000,3,20260911,470,55.0,14.861702127659575,0.9944,0.0056,0.0,9944,56,0,1410,127.0,1036900.1373098522,147426.01222837257
gold,OOS,16,10,0.3,500000,10000,3,20260911,470,55.0,11.0,0.9627,0.0373,0.0,9627,373,0,1410,94.0,1047893.2795524667,141918.23945003544
gold,OOS,24,10,0.3,500000,10000,3,20260911,470,55.0,6.553191489361702,0.8366,0.1634,0.0,8366,1634,0,1410,56.0,1066647.4073688285,89013.68754180388
gold,OOS,32,10,0.3,500000,10000,3,20260911,470,55.0,5.031914893617022,0.8266,0.1734,0.0,8266,1734,0,1410,43.0,1086225.5251138872,-84051.66419011215
gold,OOS,0.5,20,0.1,500000,10000,3,20260911,470,55.0,154.70212765957447,0.0007,0.0,0.9993,7,0,9993,1410,1322.0,1000761.9009426059,
gold,OOS,1,20,0.1,500000,10000,3,20260911,470,55.0,134.10638297872342,0.5946,0.0,0.4054,5946,0,4054,1410,1146.0,1003492.1403271969,
gold,OOS,2,20,0.1,500000,10000,3,20260911,470,55.0,77.23404255319149,0.9886,0.0,0.0114,9886,0,114,1410,660.0,1006710.2598549656,
gold,OOS,3,20,0.1,500000,10000,3,20260911,470,55.0,52.308510638297875,0.9985,0.0,0.0015,9985,0,15,1410,447.0,1010160.9022233195,
gold,OOS,4,20,0.1,500000,10000,3,20260911,470,55.0,39.43617021276596,0.9998,0.0,0.0002,9998,0,2,1410,337.0,1013515.0772162067,
gold,OOS,6,20,0.1,500000,10000,3,20260911,470,55.0,26.79787234042553,1.0,0.0,0.0,10000,0,0,1410,229.0,1020081.4173397627,
gold,OOS,8,20,0.1,500000,10000,3,20260911,470,55.0,20.654255319148938,1.0,0.0,0.0,10000,0,0,1410,176.5,1026124.410517249,
gold,OOS,12,20,0.1,500000,10000,3,20260911,470,55.0,14.393617021276595,1.0,0.0,0.0,10000,0,0,1410,123.0,1037880.1626586611,
gold,OOS,16,20,0.1,500000,10000,3,20260911,470,55.0,11.46808510638298,0.9997,0.0003,0.0,9997,3,0,1410,98.0,1047646.8633870044,49629.64895740965
gold,OOS,24,20,0.1,500000,10000,3,20260911,470,55.0,8.308510638297872,0.9779,0.0221,0.0,9779,221,0,1410,71.0,1069391.20990179,45297.70309626437
gold,OOS,32,20,0.1,500000,10000,3,20260911,470,55.0,6.319148936170213,0.9352,0.0647,0.0001,9352,647,1,1410,54.0,1087043.7976425772,-102356.93265139977
gold,OOS,0.5,20,0.2,500000,10000,3,20260911,470,55.0,154.70212765957447,0.0007,0.0,0.9993,7,0,9993,1410,1322.0,1000761.9009426059,
gold,OOS,1,20,0.2,500000,10000,3,20260911,470,55.0,134.10638297872342,0.5946,0.0,0.4054,5946,0,4054,1410,1146.0,1003492.1403271969,
gold,OOS,2,20,0.2,500000,10000,3,20260911,470,55.0,77.23404255319149,0.9886,0.0,0.0114,9886,0,114,1410,660.0,1006710.2598549656,
